[829, 612]
[folio, [297.0, 109.0, 71.0, 18.0], ZXefB2X5cn, 6459825]
[headline, [225.0, 136.0, 216.0, 25.5], v0U13eYe0N, 6459825]
[jumpline, [277.0, 187.0, 116.0, 18.0], tWTEYX-tWM, 6459825]
[paragraph, [119.0, 239.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 257.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 275.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 293.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 311.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 329.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 347.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 365.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 383.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 401.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 419.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 437.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 455.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 473.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 491.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 509.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 527.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 545.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [119.0, 563.0, 430.0, 18.0], shoonya_0s813LW6YZ5Z3Y, 6459825]
[paragraph, [116.0, 596.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 614.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 632.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 650.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 668.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 686.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 704.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 722.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 740.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 758.0, 433.0, 18.0], imKAearut7, 6459825]
[paragraph, [116.0, 776.0, 433.0, 18.0], imKAearut7, 6459825]
