[595, 454]
[paragraph, [229.0, 39.0, 203.0, 18.0], shoonya_5sPC2M47S835SX, 6459352]
[paragraph, [229.0, 57.0, 203.0, 18.0], shoonya_5sPC2M47S835SX, 6459352]
[paragraph, [229.0, 75.0, 203.0, 18.0], shoonya_5sPC2M47S835SX, 6459352]
[paragraph, [30.0, 40.0, 196.0, 18.0], shoonya_4sB68FFF59H2ZX, 6459352]
[paragraph, [30.0, 58.0, 196.0, 18.0], shoonya_4sB68FFF59H2ZX, 6459352]
[paragraph, [30.0, 76.0, 196.0, 18.0], shoonya_4sB68FFF59H2ZX, 6459352]
[paragraph, [30.0, 94.0, 196.0, 18.0], shoonya_4sB68FFF59H2ZX, 6459352]
[paragraph, [30.0, 112.0, 196.0, 18.0], shoonya_4sB68FFF59H2ZX, 6459352]
[paragraph, [30.0, 130.0, 196.0, 18.0], shoonya_4sB68FFF59H2ZX, 6459352]
[paragraph, [230.0, 103.0, 204.0, 18.0], SiC8A_bHWA, 6459352]
[paragraph, [230.0, 121.0, 204.0, 18.0], SiC8A_bHWA, 6459352]
[paragraph, [230.0, 144.0, 202.0, 18.0], 1iMUMwIl5I, 6459352]
[paragraph, [230.0, 162.0, 202.0, 18.0], 1iMUMwIl5I, 6459352]
[paragraph, [230.0, 180.0, 202.0, 18.0], 1iMUMwIl5I, 6459352]
[paragraph, [33.0, 162.0, 193.0, 18.0], shoonya_2sOWNELDRB2KUZ, 6459352]
[paragraph, [33.0, 180.0, 193.0, 18.0], shoonya_2sOWNELDRB2KUZ, 6459352]
[paragraph, [33.0, 198.0, 193.0, 18.0], shoonya_2sOWNELDRB2KUZ, 6459352]
[paragraph, [33.0, 216.0, 193.0, 18.0], shoonya_2sOWNELDRB2KUZ, 6459352]
[paragraph, [33.0, 234.0, 193.0, 18.0], shoonya_2sOWNELDRB2KUZ, 6459352]
[paragraph, [227.0, 202.0, 201.0, 18.0], UffpyTwgfl, 6459352]
[paragraph, [227.0, 220.0, 201.0, 18.0], UffpyTwgfl, 6459352]
[paragraph, [227.0, 238.0, 201.0, 18.0], UffpyTwgfl, 6459352]
[paragraph, [33.0, 258.0, 194.0, 18.0], shoonya_0s6HUCSPAAAMRM, 6459352]
[paragraph, [33.0, 276.0, 194.0, 18.0], shoonya_0s6HUCSPAAAMRM, 6459352]
[paragraph, [33.0, 294.0, 194.0, 18.0], shoonya_0s6HUCSPAAAMRM, 6459352]
[paragraph, [33.0, 312.0, 194.0, 18.0], shoonya_0s6HUCSPAAAMRM, 6459352]
[paragraph, [231.0, 260.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [231.0, 278.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [231.0, 296.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [231.0, 314.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [231.0, 332.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [231.0, 350.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [231.0, 368.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [231.0, 386.0, 202.0, 18.0], shoonya_6s6B59Z7AIPS0L, 6459352]
[paragraph, [32.0, 337.0, 197.0, 18.0], shoonya_3sQKMMVEG0C5P1, 6459352]
[paragraph, [32.0, 355.0, 197.0, 18.0], shoonya_3sQKMMVEG0C5P1, 6459352]
[paragraph, [32.0, 373.0, 197.0, 18.0], shoonya_3sQKMMVEG0C5P1, 6459352]
[paragraph, [32.0, 391.0, 197.0, 18.0], shoonya_3sQKMMVEG0C5P1, 6459352]
