[644, 393]
[folio, [154.0, 30.0, 83.0, 18.0], yz-VrQdcCT, 6459222]
[paragraph, [73.0, 53.0, 239.0, 18.0], Tw-SVrnOuw, 6459222]
[paragraph, [73.0, 71.0, 239.0, 18.0], Tw-SVrnOuw, 6459222]
[paragraph, [73.0, 89.0, 239.0, 18.0], Tw-SVrnOuw, 6459222]
[paragraph, [71.0, 124.0, 238.0, 18.0], czg20jJX4D, 6459222]
[paragraph, [71.0, 142.0, 238.0, 18.0], czg20jJX4D, 6459222]
[paragraph, [33.0, 168.0, 327.0, 18.0], 2u-BjmJiVK, 6459222]
[paragraph, [33.0, 186.0, 327.0, 18.0], 2u-BjmJiVK, 6459222]
[paragraph, [33.0, 204.0, 327.0, 18.0], 2u-BjmJiVK, 6459222]
[paragraph, [33.0, 222.0, 327.0, 18.0], 2u-BjmJiVK, 6459222]
[paragraph, [33.0, 240.0, 327.0, 18.0], 2u-BjmJiVK, 6459222]
[paragraph, [33.0, 258.0, 327.0, 18.0], 2u-BjmJiVK, 6459222]
[paragraph, [33.0, 276.0, 327.0, 18.0], 2u-BjmJiVK, 6459222]
[paragraph, [32.0, 310.0, 329.0, 18.0], V0FODP29vr, 6459222]
[paragraph, [32.0, 328.0, 329.0, 18.0], V0FODP29vr, 6459222]
[paragraph, [32.0, 346.0, 329.0, 18.0], V0FODP29vr, 6459222]
[paragraph, [32.0, 364.0, 329.0, 18.0], V0FODP29vr, 6459222]
[paragraph, [32.0, 382.0, 329.0, 18.0], V0FODP29vr, 6459222]
[paragraph, [32.0, 400.0, 329.0, 18.0], V0FODP29vr, 6459222]
[paragraph, [135.0, 429.0, 130.0, 18.0], wjm2jUR0Xn, 6459222]
[paragraph, [78.0, 447.0, 226.0, 18.0], d0RZyn7fBx, 6459222]
[paragraph, [78.0, 465.0, 226.0, 18.0], d0RZyn7fBx, 6459222]
[paragraph, [31.0, 490.0, 336.0, 18.0], dSVgO5OYav, 6459222]
[paragraph, [31.0, 508.0, 336.0, 18.0], dSVgO5OYav, 6459222]
[paragraph, [31.0, 526.0, 336.0, 18.0], dSVgO5OYav, 6459222]
[paragraph, [31.0, 544.0, 336.0, 18.0], dSVgO5OYav, 6459222]
[paragraph, [31.0, 562.0, 336.0, 18.0], dSVgO5OYav, 6459222]
[paragraph, [31.0, 580.0, 336.0, 18.0], dSVgO5OYav, 6459222]
