[1200, 825]
[paragraph, [139.0, 107.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 125.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 143.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 161.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 179.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 197.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 215.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 233.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 251.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 269.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 287.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [139.0, 305.0, 548.0, 18.0], dz_iRCmMXw, 5690961]
[paragraph, [137.0, 326.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 344.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 362.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 380.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 398.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 416.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 434.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 452.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 470.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 488.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 506.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 524.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 542.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 560.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 578.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 596.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 614.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 632.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 650.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 668.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 686.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 704.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 722.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 740.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 758.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 776.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 794.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 812.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 830.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 848.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 866.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 884.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 902.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [137.0, 920.0, 549.0, 18.0], shoonya_2sAC7ZV83YAQVA, 5690961]
[paragraph, [140.0, 938.0, 545.0, 18.0], shoonya_0sOQ6MCR38IASQ, 5690961]
[paragraph, [140.0, 956.0, 545.0, 18.0], shoonya_0sOQ6MCR38IASQ, 5690961]
[paragraph, [140.0, 974.0, 545.0, 18.0], shoonya_0sOQ6MCR38IASQ, 5690961]
[paragraph, [140.0, 992.0, 545.0, 18.0], shoonya_0sOQ6MCR38IASQ, 5690961]
[paragraph, [140.0, 1010.0, 545.0, 18.0], shoonya_0sOQ6MCR38IASQ, 5690961]
[paragraph, [140.0, 1028.0, 545.0, 18.0], shoonya_0sOQ6MCR38IASQ, 5690961]
