[2200, 1700]
[paragraph, [280.0, 220.0, 1132.0, 36.0], shoonya_3sLC0AQ1349VYE, 5686068]
[paragraph, [280.0, 256.0, 1132.0, 36.0], shoonya_3sLC0AQ1349VYE, 5686068]
[paragraph, [280.0, 292.0, 1132.0, 36.0], shoonya_3sLC0AQ1349VYE, 5686068]
[paragraph, [280.0, 328.0, 1132.0, 36.0], shoonya_3sLC0AQ1349VYE, 5686068]
[section-title, [289.0, 412.0, 210.0, 52.5], shoonya_2sNH0C2MHW0XYI, 5686068]
[paragraph, [279.0, 506.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 542.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 578.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 614.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 650.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 686.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 722.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 758.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 794.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 830.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 866.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 902.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 938.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 974.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1010.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1046.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1082.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1118.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1154.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1190.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1226.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [279.0, 1262.0, 1137.0, 36.0], shoonya_0sRKYURYM4BKQ7, 5686068]
[paragraph, [393.0, 1335.0, 902.0, 36.0], shoonya_4s38BO9M6O9JF6, 5686068]
[paragraph, [393.0, 1371.0, 902.0, 36.0], shoonya_4s38BO9M6O9JF6, 5686068]
[paragraph, [393.0, 1407.0, 902.0, 36.0], shoonya_4s38BO9M6O9JF6, 5686068]
[paragraph, [393.0, 1443.0, 902.0, 36.0], shoonya_4s38BO9M6O9JF6, 5686068]
[paragraph, [393.0, 1479.0, 902.0, 36.0], shoonya_4s38BO9M6O9JF6, 5686068]
[paragraph, [391.0, 1542.0, 884.0, 36.0], shoonya_5s8W9RXE641W3N, 5686068]
[paragraph, [391.0, 1578.0, 884.0, 36.0], shoonya_5s8W9RXE641W3N, 5686068]
[paragraph, [391.0, 1614.0, 884.0, 36.0], shoonya_5s8W9RXE641W3N, 5686068]
[paragraph, [397.0, 1686.0, 889.0, 36.0], W5pd3eeeGf, 5686068]
[paragraph, [401.0, 1755.0, 846.0, 36.0], B8ZeyOMidU, 5686068]
