[1754, 1241]
[folio, [887.0, 129.0, 193.0, 36.0], shoonya_3sYHHDVYDTYT0D, 5728959]
[reference, [206.0, 233.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 269.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 305.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 341.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 377.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 413.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 449.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 485.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 521.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 557.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 593.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 629.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 665.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 701.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 737.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 773.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 809.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 845.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 881.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 917.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 953.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 989.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1025.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1061.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1097.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1133.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1169.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1205.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1241.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1277.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1313.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1349.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1385.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1421.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
[reference, [206.0, 1457.0, 880.0, 36.0], shoonya_0sJACC59OZ2NDX, 5728959]
