[1951, 1219]
[folio, [811.0, 122.0, 186.0, 36.0], shoonya_0s7ZSLC5TMLH51, 5681959]
[paragraph, [124.0, 213.0, 969.0, 36.0], HEam2ZbJog, 5681959]
[paragraph, [124.0, 249.0, 969.0, 36.0], HEam2ZbJog, 5681959]
[paragraph, [124.0, 285.0, 969.0, 36.0], HEam2ZbJog, 5681959]
[paragraph, [124.0, 321.0, 969.0, 36.0], HEam2ZbJog, 5681959]
[paragraph, [124.0, 357.0, 969.0, 36.0], HEam2ZbJog, 5681959]
[paragraph, [124.0, 393.0, 969.0, 36.0], HEam2ZbJog, 5681959]
[paragraph, [123.0, 448.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 484.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 520.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 556.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 592.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 628.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 664.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 700.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 736.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 772.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 808.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 844.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 880.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 916.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 952.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 988.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1024.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1060.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1096.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1132.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1168.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1204.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1240.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1276.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1312.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1348.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1384.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1420.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1456.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1492.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [123.0, 1528.0, 975.0, 36.0], 3vpp8f3snR, 5681959]
[paragraph, [124.0, 1606.0, 969.0, 36.0], KOscr1LJCA, 5681959]
[paragraph, [124.0, 1642.0, 969.0, 36.0], KOscr1LJCA, 5681959]
[paragraph, [124.0, 1678.0, 969.0, 36.0], KOscr1LJCA, 5681959]
[paragraph, [124.0, 1714.0, 969.0, 36.0], KOscr1LJCA, 5681959]
[paragraph, [124.0, 1750.0, 969.0, 36.0], KOscr1LJCA, 5681959]
[paragraph, [124.0, 1786.0, 969.0, 36.0], KOscr1LJCA, 5681959]
