[2339, 1656]
[paragraph, [882.0, 111.0, 699.0, 36.0], shoonya_3sK7IJ2A120PPT, 5750025]
[paragraph, [882.0, 147.0, 699.0, 36.0], shoonya_3sK7IJ2A120PPT, 5750025]
[paragraph, [882.0, 183.0, 699.0, 36.0], shoonya_3sK7IJ2A120PPT, 5750025]
[paragraph, [882.0, 219.0, 699.0, 36.0], shoonya_3sK7IJ2A120PPT, 5750025]
[paragraph, [882.0, 255.0, 699.0, 36.0], shoonya_3sK7IJ2A120PPT, 5750025]
[paragraph, [882.0, 291.0, 699.0, 36.0], shoonya_3sK7IJ2A120PPT, 5750025]
[paragraph, [882.0, 327.0, 699.0, 36.0], shoonya_3sK7IJ2A120PPT, 5750025]
[paragraph, [151.0, 120.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 156.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 192.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 228.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 264.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 300.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 336.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 372.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 408.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 444.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 480.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 516.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 552.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 588.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 624.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 660.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 696.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 732.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [151.0, 768.0, 703.0, 36.0], shoonya_4sWJIUKNMWKUCY, 5750025]
[paragraph, [888.0, 386.0, 703.0, 36.0], shoonya_2sQ8Z65DG31KMD, 5750025]
[paragraph, [888.0, 422.0, 703.0, 36.0], shoonya_2sQ8Z65DG31KMD, 5750025]
