[2200, 1700]
[folio, [766.0, 392.0, 161.0, 36.0], BEDyBmmKrZ, 5732644]
[paragraph, [458.0, 486.0, 776.0, 36.0], shoonya_1s2J4CKYLUVRJT, 5732644]
[paragraph, [458.0, 522.0, 776.0, 36.0], shoonya_1s2J4CKYLUVRJT, 5732644]
[paragraph, [458.0, 558.0, 776.0, 36.0], shoonya_1s2J4CKYLUVRJT, 5732644]
[paragraph, [455.0, 614.0, 783.0, 36.0], shoonya_3sZ6LEI6OKDFEH, 5732644]
[paragraph, [455.0, 650.0, 783.0, 36.0], shoonya_3sZ6LEI6OKDFEH, 5732644]
[paragraph, [455.0, 686.0, 783.0, 36.0], shoonya_3sZ6LEI6OKDFEH, 5732644]
[paragraph, [455.0, 722.0, 783.0, 36.0], shoonya_3sZ6LEI6OKDFEH, 5732644]
[paragraph, [493.0, 794.0, 533.0, 36.0], shoonya_5s3UT116B4HEAF, 5732644]
[paragraph, [494.0, 849.0, 702.0, 36.0], shoonya_4s5UYVHN6YBGZC, 5732644]
[paragraph, [450.0, 912.0, 766.0, 36.0], shoonya_2s8YAOI0ZJIJ0I, 5732644]
[paragraph, [450.0, 948.0, 766.0, 36.0], shoonya_2s8YAOI0ZJIJ0I, 5732644]
[paragraph, [450.0, 984.0, 766.0, 36.0], shoonya_2s8YAOI0ZJIJ0I, 5732644]
[paragraph, [464.0, 1041.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1077.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1113.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1149.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1185.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1221.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1257.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1293.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1329.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1365.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1401.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1437.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1473.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1509.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1545.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1581.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1617.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1653.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[paragraph, [464.0, 1689.0, 777.0, 36.0], shoonya_0s1TO6TFQD4FG6, 5732644]
[footnote, [1307.0, 2023.0, 224.0, 36.0], 6cs-p-SsQt, 5732644]
[footnote, [1307.0, 2059.0, 224.0, 36.0], 6cs-p-SsQt, 5732644]
[folio, [804.0, 2102.0, 178.0, 36.0], DJLaNjjQra, 5732644]
