[1606, 1056]
[folio, [100.0, 96.0, 225.0, 36.0], O2qcfoQDsH, 5683967]
[folio, [449.0, 103.0, 160.0, 36.0], shoonya_2sXUF0VHNRN1BJ, 5683967]
[paragraph, [102.0, 152.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 188.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 224.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 260.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 296.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 332.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 368.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 404.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 440.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 476.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[paragraph, [102.0, 512.0, 849.0, 36.0], shoonya_0s9ZMID8QLB5V1, 5683967]
[jumpline, [845.0, 561.0, 103.0, 36.0], shoonya_4sVQGR9KHQWJEX, 5683967]
[paragraph, [98.0, 776.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 812.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 848.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 884.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 920.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 956.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 992.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 1028.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 1064.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 1100.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 1136.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 1172.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 1208.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [98.0, 1244.0, 855.0, 36.0], shoonya_1sYKPRNDYXA5EX, 5683967]
[paragraph, [103.0, 1324.0, 849.0, 36.0], shoonya_5sASO74NQV1IYD, 5683967]
[paragraph, [103.0, 1360.0, 849.0, 36.0], shoonya_5sASO74NQV1IYD, 5683967]
[paragraph, [103.0, 1396.0, 849.0, 36.0], shoonya_5sASO74NQV1IYD, 5683967]
[paragraph, [103.0, 1432.0, 849.0, 36.0], shoonya_5sASO74NQV1IYD, 5683967]
[paragraph, [103.0, 1468.0, 849.0, 36.0], shoonya_5sASO74NQV1IYD, 5683967]
