[1637, 1070]
[paragraph, [77.0, 90.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 126.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 162.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 198.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 234.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 270.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 306.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 342.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 378.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 414.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [77.0, 450.0, 897.0, 36.0], shoonya_1s61RUY8NVWMCJ, 5654564]
[paragraph, [80.0, 491.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 527.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 563.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 599.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 635.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 671.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 707.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 743.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 779.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 815.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 851.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 887.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 923.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [80.0, 959.0, 910.0, 36.0], shoonya_0s28HIAV4RD2AC, 5654564]
[paragraph, [81.0, 1021.0, 896.0, 36.0], shoonya_2sAWGVAM63LESU, 5654564]
[paragraph, [81.0, 1057.0, 896.0, 36.0], shoonya_2sAWGVAM63LESU, 5654564]
[paragraph, [81.0, 1093.0, 896.0, 36.0], shoonya_2sAWGVAM63LESU, 5654564]
[paragraph, [81.0, 1129.0, 896.0, 36.0], shoonya_2sAWGVAM63LESU, 5654564]
[paragraph, [81.0, 1165.0, 896.0, 36.0], shoonya_2sAWGVAM63LESU, 5654564]
[paragraph, [81.0, 1201.0, 896.0, 36.0], shoonya_2sAWGVAM63LESU, 5654564]
[paragraph, [81.0, 1237.0, 896.0, 36.0], shoonya_2sAWGVAM63LESU, 5654564]
[paragraph, [79.0, 1279.0, 902.0, 36.0], shoonya_3sJ7YCXWGEYDHT, 5654564]
[paragraph, [79.0, 1315.0, 902.0, 36.0], shoonya_3sJ7YCXWGEYDHT, 5654564]
[paragraph, [79.0, 1351.0, 902.0, 36.0], shoonya_3sJ7YCXWGEYDHT, 5654564]
[paragraph, [79.0, 1387.0, 902.0, 36.0], shoonya_3sJ7YCXWGEYDHT, 5654564]
[paragraph, [79.0, 1423.0, 902.0, 36.0], shoonya_3sJ7YCXWGEYDHT, 5654564]
[paragraph, [79.0, 1459.0, 902.0, 36.0], shoonya_3sJ7YCXWGEYDHT, 5654564]
[paragraph, [188.0, 1502.0, 801.0, 36.0], shoonya_5sLVZD8IHLNDE2, 5654564]
