[1336, 843]
[paragraph, [32.0, 24.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 42.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 60.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 78.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 96.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 114.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 132.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 150.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 168.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [32.0, 186.0, 767.0, 18.0], CZZUQYRhzJ, 5660805]
[paragraph, [35.0, 213.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 231.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 249.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 267.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 285.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 303.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 321.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 339.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 357.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 375.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 393.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 411.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 429.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 447.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 465.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 483.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 501.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 519.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 537.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 555.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 573.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 591.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 609.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 627.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 645.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 663.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 681.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 699.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 717.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 735.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 753.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 771.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 789.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
[paragraph, [35.0, 807.0, 765.0, 18.0], 60DEj7NqOc, 5660805]
