[1755, 1240]
[folio, [637.0, 66.0, 485.0, 36.0], Ezx2uBNW5V, 5743901]
[paragraph, [199.0, 209.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 245.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 281.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 317.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 353.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 389.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 425.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 461.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 497.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 533.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 569.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 605.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 641.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 677.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 713.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 749.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [199.0, 785.0, 923.0, 36.0], g1cvYtgM30, 5743901]
[paragraph, [195.0, 830.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 866.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 902.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 938.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 974.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 1010.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 1046.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 1082.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [195.0, 1118.0, 929.0, 36.0], shoonya_3sWA7HF4WCHY2S, 5743901]
[paragraph, [187.0, 1201.0, 943.0, 36.0], GntiLJySmB, 5743901]
[paragraph, [187.0, 1237.0, 943.0, 36.0], GntiLJySmB, 5743901]
[paragraph, [187.0, 1273.0, 943.0, 36.0], GntiLJySmB, 5743901]
[paragraph, [187.0, 1309.0, 943.0, 36.0], GntiLJySmB, 5743901]
[paragraph, [187.0, 1345.0, 943.0, 36.0], GntiLJySmB, 5743901]
[paragraph, [200.0, 1406.0, 930.0, 36.0], shoonya_2s5SW012X3PARL, 5743901]
[paragraph, [200.0, 1442.0, 930.0, 36.0], shoonya_2s5SW012X3PARL, 5743901]
[paragraph, [200.0, 1478.0, 930.0, 36.0], shoonya_2s5SW012X3PARL, 5743901]
[paragraph, [200.0, 1514.0, 930.0, 36.0], shoonya_2s5SW012X3PARL, 5743901]
