[872, 605]
[section-title, [265.0, 34.0, 75.0, 30.0], shoonya_0sS171L5F0A6H8, 6456796]
[folio, [455.0, 35.0, 94.0, 18.0], shoonya_4sZTQP3QOBY7ZA, 6456796]
[paragraph, [54.0, 75.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 93.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 111.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 129.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 147.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 165.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 183.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 201.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 219.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 237.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 255.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 273.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 291.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 309.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 327.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [54.0, 345.0, 251.0, 18.0], IUTl1ZdZXS, 6456796]
[paragraph, [303.0, 76.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [303.0, 94.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [303.0, 112.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [303.0, 130.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [303.0, 148.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [303.0, 166.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [303.0, 184.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [303.0, 202.0, 246.0, 18.0], 8OrY5u1idM, 6456796]
[paragraph, [307.0, 233.0, 244.0, 18.0], RDo4X8gSx7, 6456796]
[paragraph, [307.0, 251.0, 244.0, 18.0], RDo4X8gSx7, 6456796]
[paragraph, [307.0, 269.0, 244.0, 18.0], RDo4X8gSx7, 6456796]
[paragraph, [307.0, 287.0, 244.0, 18.0], RDo4X8gSx7, 6456796]
[paragraph, [307.0, 305.0, 244.0, 18.0], RDo4X8gSx7, 6456796]
[paragraph, [307.0, 323.0, 244.0, 18.0], RDo4X8gSx7, 6456796]
[paragraph, [307.0, 341.0, 244.0, 18.0], RDo4X8gSx7, 6456796]
[paragraph, [53.0, 368.0, 249.0, 18.0], sgfIYj5nDF, 6456796]
[paragraph, [302.0, 371.0, 252.0, 18.0], ZbAoFL-w_l, 6456796]
