[2200, 1700]
[paragraph, [293.0, 73.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 109.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 145.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 181.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 217.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 253.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 289.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 325.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 361.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 397.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 433.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 469.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 505.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 541.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [293.0, 577.0, 1114.0, 36.0], shoonya_1sUSQ0MK2013AU, 5731263]
[paragraph, [291.0, 650.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 686.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 722.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 758.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 794.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 830.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 866.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 902.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 938.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 974.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1010.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1046.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1082.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1118.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1154.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1190.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1226.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1262.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1298.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1334.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1370.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1406.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1442.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1478.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1514.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1550.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1586.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1622.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1658.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1694.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1730.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1766.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1802.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1838.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1874.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[paragraph, [291.0, 1910.0, 1128.0, 36.0], shoonya_0sFEES6R5OQ1FZ, 5731263]
[folio, [940.0, 2025.0, 365.0, 36.0], idijFkCSn0, 5731263]
