[585, 406]
[chapter-title, [151.0, 104.0, 119.0, 30.0], shoonya_2sHT5QMAXB02Q3, 6496695]
[author, [277.0, 137.0, 87.0, 18.0], shoonya_3sTOOCQGQ6CEBS, 6496695]
[paragraph, [55.0, 165.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 183.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 201.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 219.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 237.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 255.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 273.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 291.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 309.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 327.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 345.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 363.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 381.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 399.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 417.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 435.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [55.0, 453.0, 315.0, 18.0], shoonya_0s0KABE2B0POVN, 6496695]
[paragraph, [57.0, 486.0, 308.0, 18.0], shoonya_4sUZXX4QJ2LMFE, 6496695]
[paragraph, [57.0, 504.0, 308.0, 18.0], shoonya_4sUZXX4QJ2LMFE, 6496695]
