[3509, 2480]
[paragraph, [356.0, 393.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 445.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 498.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 550.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 603.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 655.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 708.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 760.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 813.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 865.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 918.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 970.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 1023.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 1075.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 1128.0, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [356.0, 1180.5, 1767.0, 52.5], D0TJJEYzAM, 5724360]
[paragraph, [505.0, 1314.0, 1553.0, 52.5], 4OBgoZ8DZI, 5724360]
[paragraph, [505.0, 1366.5, 1553.0, 52.5], 4OBgoZ8DZI, 5724360]
[paragraph, [505.0, 1419.0, 1553.0, 52.5], 4OBgoZ8DZI, 5724360]
[paragraph, [359.0, 1553.0, 1760.0, 52.5], WpfPbM0YMS, 5724360]
[paragraph, [359.0, 1605.5, 1760.0, 52.5], WpfPbM0YMS, 5724360]
[paragraph, [359.0, 1658.0, 1760.0, 52.5], WpfPbM0YMS, 5724360]
[paragraph, [359.0, 1710.5, 1760.0, 52.5], WpfPbM0YMS, 5724360]
[paragraph, [359.0, 1763.0, 1760.0, 52.5], WpfPbM0YMS, 5724360]
[paragraph, [359.0, 1815.5, 1760.0, 52.5], WpfPbM0YMS, 5724360]
[paragraph, [359.0, 1868.0, 1760.0, 52.5], WpfPbM0YMS, 5724360]
[paragraph, [508.0, 1990.0, 1543.0, 52.5], yPo1HXHSLP, 5724360]
[paragraph, [508.0, 2042.5, 1543.0, 52.5], yPo1HXHSLP, 5724360]
[paragraph, [508.0, 2095.0, 1543.0, 52.5], yPo1HXHSLP, 5724360]
[paragraph, [354.0, 2215.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2267.5, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2320.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2372.5, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2425.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2477.5, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2530.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2582.5, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2635.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2687.5, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2740.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2792.5, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2845.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2897.5, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
[paragraph, [354.0, 2950.0, 1785.0, 52.5], shoonya_1s9KZF1YR9WL9R, 5724360]
