[792, 576]
[chapter-title, [160.0, 58.0, 256.0, 30.0], shoonya_9sFDWZIMII542B, 5658934]
[paragraph, [53.0, 236.0, 472.0, 18.0], anuH22hLN8, 5658934]
[ordered-list, [83.0, 263.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 281.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 299.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 317.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 335.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 353.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 371.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 389.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 407.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 425.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[ordered-list, [83.0, 443.0, 443.0, 18.0], shoonya_7sMCC1OL7PJBRI, 5658934]
[unordered-list, [102.0, 479.0, 252.0, 18.0], shoonya_0s3FSCL180KFJF, 5658934]
[unordered-list, [102.0, 497.0, 252.0, 18.0], shoonya_0s3FSCL180KFJF, 5658934]
[unordered-list, [102.0, 515.0, 252.0, 18.0], shoonya_0s3FSCL180KFJF, 5658934]
[unordered-list, [102.0, 533.0, 252.0, 18.0], shoonya_0s3FSCL180KFJF, 5658934]
[unordered-list, [102.0, 551.0, 252.0, 18.0], shoonya_0s3FSCL180KFJF, 5658934]
[contact-info, [463.0, 564.0, 55.0, 18.0], shoonya_5sQWLDSKA6A0MV, 5658934]
[contact-info, [463.0, 582.0, 55.0, 18.0], shoonya_5sQWLDSKA6A0MV, 5658934]
[figure-caption, [427.0, 609.0, 97.0, 18.0], nizZVa84pM, 5658934]
[contact-info, [145.0, 645.0, 291.0, 18.0], -Ov9HsLE1I, 5658934]
[contact-info, [145.0, 663.0, 291.0, 18.0], -Ov9HsLE1I, 5658934]
