[2200, 1700]
[paragraph, [372.0, 113.0, 1132.0, 36.0], shoonya_2sSDZ0CDHG5YF7, 5734455]
[paragraph, [372.0, 149.0, 1132.0, 36.0], shoonya_2sSDZ0CDHG5YF7, 5734455]
[paragraph, [372.0, 185.0, 1132.0, 36.0], shoonya_2sSDZ0CDHG5YF7, 5734455]
[paragraph, [372.0, 221.0, 1132.0, 36.0], shoonya_2sSDZ0CDHG5YF7, 5734455]
[paragraph, [372.0, 257.0, 1132.0, 36.0], shoonya_2sSDZ0CDHG5YF7, 5734455]
[paragraph, [372.0, 293.0, 1132.0, 36.0], shoonya_2sSDZ0CDHG5YF7, 5734455]
[paragraph, [372.0, 329.0, 1132.0, 36.0], shoonya_2sSDZ0CDHG5YF7, 5734455]
[paragraph, [370.0, 411.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 447.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 483.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 519.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 555.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 591.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 627.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 663.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 699.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 735.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 771.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 807.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 843.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 879.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 915.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 951.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 987.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 1023.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 1059.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 1095.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 1131.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 1167.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 1203.0, 1134.0, 36.0], shoonya_1s9LIV5I4L9CC4, 5734455]
[paragraph, [370.0, 1269.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1305.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1341.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1377.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1413.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1449.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1485.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1521.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1557.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1593.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1629.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1665.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1701.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1737.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1773.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1809.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1845.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1881.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1917.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
[paragraph, [370.0, 1953.0, 1135.0, 36.0], shoonya_0sAG65FHTXO7KP, 5734455]
