[1241, 877]
[folio, [114.0, 72.0, 134.0, 18.0], wRNNEtF9rL, 5697702]
[reference, [112.0, 117.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 135.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 153.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 171.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 189.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 207.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 225.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 243.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 261.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 279.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 297.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 315.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 333.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 351.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 369.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 387.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 405.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 423.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 441.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 459.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 477.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 495.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 513.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 531.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 549.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 567.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 585.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 603.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 621.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 639.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 657.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 675.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 693.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 711.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 729.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 747.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[reference, [112.0, 765.0, 650.0, 18.0], ct_e8EWlUk, 5697702]
[headline, [111.0, 838.0, 506.0, 25.5], yG0WxdtOpu, 5697702]
[headline, [111.0, 863.5, 506.0, 25.5], yG0WxdtOpu, 5697702]
[paragraph, [114.0, 963.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [114.0, 981.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [114.0, 999.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [114.0, 1017.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [114.0, 1035.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [114.0, 1053.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [114.0, 1071.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [114.0, 1089.0, 649.0, 18.0], shoonya_0sQ3XH5ZGZRR2W, 5697702]
[paragraph, [119.0, 1125.0, 643.0, 18.0], shoonya_3sN63W5XQ4POMP, 5697702]
