[3508, 2481]
[contact-info, [645.0, 344.0, 1167.0, 52.5], XzoSYl79vq, 6516771]
[contact-info, [645.0, 396.5, 1167.0, 52.5], XzoSYl79vq, 6516771]
[section-title, [1018.0, 568.0, 450.0, 93.0], WUnO1z1vQd, 6516771]
[folio, [214.0, 798.0, 1201.0, 52.5], OPoI0i-Nrs, 6516771]
[folio, [214.0, 850.5, 1201.0, 52.5], OPoI0i-Nrs, 6516771]
[dateline, [214.0, 1044.0, 431.0, 52.5], dr4-e-38wy, 6516771]
[paragraph, [201.0, 1329.0, 294.0, 52.5], DMGrNWMN59, 6516771]
[paragraph, [195.0, 1432.0, 2092.0, 52.5], cbMlh_bwHc, 6516771]
[paragraph, [195.0, 1484.5, 2092.0, 52.5], cbMlh_bwHc, 6516771]
[paragraph, [195.0, 1537.0, 2092.0, 52.5], cbMlh_bwHc, 6516771]
[paragraph, [195.0, 1589.5, 2092.0, 52.5], cbMlh_bwHc, 6516771]
[paragraph, [195.0, 1642.0, 2092.0, 52.5], cbMlh_bwHc, 6516771]
[paragraph, [195.0, 1694.5, 2092.0, 52.5], cbMlh_bwHc, 6516771]
[ordered-list, [260.0, 1848.0, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 1900.5, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 1953.0, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 2005.5, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 2058.0, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 2110.5, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 2163.0, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 2215.5, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 2268.0, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[ordered-list, [260.0, 2320.5, 2009.0, 52.5], E4W7bC5Q7y, 6516771]
[figure-caption, [1835.0, 2749.0, 434.0, 52.5], fwCa75tGyy, 6516771]
[figure-caption, [1835.0, 2801.5, 434.0, 52.5], fwCa75tGyy, 6516771]
[figure-caption, [1835.0, 2854.0, 434.0, 52.5], fwCa75tGyy, 6516771]
[contact-info, [1741.0, 3271.0, 506.0, 52.5], Bn3D13wERv, 6516771]
