[1806, 1262]
[folio, [731.0, 104.0, 334.0, 36.0], yU46qJrl01, 5681634]
[paragraph, [98.0, 178.0, 503.0, 36.0], shoonya_5sE63SHHYWBRVG, 5681634]
[paragraph, [98.0, 214.0, 503.0, 36.0], shoonya_5sE63SHHYWBRVG, 5681634]
[paragraph, [643.0, 178.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 214.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 250.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 286.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 322.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 358.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 394.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 430.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 466.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 502.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [643.0, 538.0, 507.0, 36.0], shoonya_2sXAUCXILDMH9W, 5681634]
[paragraph, [84.0, 325.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 361.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 397.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 433.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 469.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 505.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 541.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 577.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [84.0, 613.0, 518.0, 36.0], shoonya_1sOY6YPQM1HER1, 5681634]
[paragraph, [645.0, 580.0, 496.0, 36.0], shoonya_6sDY544PMQBH7J, 5681634]
[paragraph, [645.0, 616.0, 496.0, 36.0], shoonya_6sDY544PMQBH7J, 5681634]
[paragraph, [645.0, 652.0, 496.0, 36.0], shoonya_6sDY544PMQBH7J, 5681634]
[paragraph, [645.0, 688.0, 496.0, 36.0], shoonya_6sDY544PMQBH7J, 5681634]
[paragraph, [645.0, 724.0, 496.0, 36.0], shoonya_6sDY544PMQBH7J, 5681634]
[paragraph, [90.0, 661.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 697.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 733.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 769.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 805.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 841.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 877.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 913.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
[paragraph, [90.0, 949.0, 515.0, 36.0], shoonya_0sT95598UR6FFA, 5681634]
