[1606, 1056]
[folio, [102.0, 97.0, 224.0, 36.0], tRZhi1PVS8, 5683436]
[folio, [448.0, 101.0, 160.0, 36.0], shoonya_1sEALJDO9TNVAO, 5683436]
[paragraph, [101.0, 150.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 186.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 222.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 258.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 294.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 330.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 366.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 402.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 438.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 474.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 510.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 546.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 582.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 618.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 654.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 690.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 726.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 762.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 798.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 834.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 870.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 906.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 942.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 978.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1014.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1050.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1086.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1122.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1158.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1194.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1230.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1266.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1302.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1338.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1374.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1410.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
[paragraph, [101.0, 1446.0, 850.0, 36.0], shoonya_0sK0T8MCI03WIZ, 5683436]
