[2338, 1654]
[paragraph, [266.0, 236.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [266.0, 272.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [266.0, 308.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [266.0, 344.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [266.0, 380.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [266.0, 416.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [266.0, 452.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [266.0, 488.0, 1203.0, 36.0], shoonya_1sUVUVVJEZI4SQ, 5754112]
[paragraph, [268.0, 572.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 608.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 644.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 680.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 716.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 752.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 788.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 824.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 860.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 896.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 932.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 968.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1004.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1040.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1076.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1112.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1148.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1184.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1220.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1256.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1292.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1328.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1364.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1400.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1436.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1472.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1508.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1544.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1580.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1616.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1652.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1688.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1724.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1760.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1796.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1832.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[paragraph, [268.0, 1868.0, 1208.0, 36.0], shoonya_0sBX2E614Y89HW, 5754112]
[reference, [275.0, 2063.0, 603.0, 36.0], shoonya_3sFJMBH0H4R3AN, 5754112]
[reference, [275.0, 2099.0, 603.0, 36.0], shoonya_3sFJMBH0H4R3AN, 5754112]
