[595, 401]
[folio, [247.0, 52.0, 98.0, 18.0], kAybA6P_EO, 5711094]
[paragraph, [53.0, 101.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 119.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 137.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 155.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 173.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 191.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 209.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 227.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 245.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 263.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 281.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 299.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 317.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 335.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 353.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 371.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 389.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 407.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 425.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 443.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[paragraph, [53.0, 461.0, 297.0, 18.0], shoonya_1sO3LO2C4WKS2D, 5711094]
[footnote, [58.0, 490.0, 279.0, 18.0], shoonya_0sPABPFGI1BBG0, 5711094]
[footnote, [58.0, 508.0, 279.0, 18.0], shoonya_0sPABPFGI1BBG0, 5711094]
