[1461, 1106]
[section-title, [141.0, 120.0, 395.0, 30.0], b0-6uzADAx, 5758953]
[paragraph, [139.0, 177.0, 850.0, 18.0], shoonya_6s8D5AEE6Z0CRS, 5758953]
[paragraph, [139.0, 195.0, 850.0, 18.0], shoonya_6s8D5AEE6Z0CRS, 5758953]
[paragraph, [139.0, 213.0, 850.0, 18.0], shoonya_6s8D5AEE6Z0CRS, 5758953]
[paragraph, [139.0, 231.0, 850.0, 18.0], shoonya_6s8D5AEE6Z0CRS, 5758953]
[paragraph, [139.0, 249.0, 850.0, 18.0], shoonya_6s8D5AEE6Z0CRS, 5758953]
[unordered-list, [137.0, 285.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 303.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 321.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 339.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 357.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 375.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 393.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 411.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 429.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 447.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 465.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 483.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 501.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 519.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[unordered-list, [137.0, 537.0, 855.0, 18.0], shoonya_0sG1CX88DNLKG1, 5758953]
[section-title, [148.0, 587.0, 577.0, 30.0], shoonya_4sTJI5WGFYFS7A, 5758953]
[paragraph, [141.0, 633.0, 850.0, 18.0], shoonya_3s59QXI9P59FWT, 5758953]
[paragraph, [141.0, 651.0, 850.0, 18.0], shoonya_3s59QXI9P59FWT, 5758953]
[paragraph, [141.0, 669.0, 850.0, 18.0], shoonya_3s59QXI9P59FWT, 5758953]
[folio, [195.0, 1343.0, 157.0, 18.0], shoonya_5sOOTZGA4BFTES, 5758953]
