[1638, 1048]
[folio, [794.0, 102.0, 91.0, 36.0], e3wmAn5Yti, 5680783]
[paragraph, [107.0, 160.0, 838.0, 36.0], shoonya_0sZ1Z3T3FTJEAM, 5680783]
[paragraph, [107.0, 196.0, 838.0, 36.0], shoonya_0sZ1Z3T3FTJEAM, 5680783]
[paragraph, [107.0, 232.0, 838.0, 36.0], shoonya_0sZ1Z3T3FTJEAM, 5680783]
[paragraph, [107.0, 268.0, 838.0, 36.0], shoonya_0sZ1Z3T3FTJEAM, 5680783]
[paragraph, [107.0, 304.0, 838.0, 36.0], shoonya_0sZ1Z3T3FTJEAM, 5680783]
[paragraph, [107.0, 340.0, 838.0, 36.0], shoonya_0sZ1Z3T3FTJEAM, 5680783]
[paragraph, [107.0, 376.0, 838.0, 36.0], shoonya_0sZ1Z3T3FTJEAM, 5680783]
[paragraph, [108.0, 421.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 457.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 493.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 529.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 565.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 601.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 637.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 673.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 709.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 745.0, 837.0, 36.0], shoonya_4s8XK4N0OHIUGW, 5680783]
[paragraph, [108.0, 809.0, 831.0, 36.0], shoonya_1s7MBGWVFTP7U3, 5680783]
[paragraph, [108.0, 845.0, 831.0, 36.0], shoonya_1s7MBGWVFTP7U3, 5680783]
[paragraph, [108.0, 881.0, 831.0, 36.0], shoonya_1s7MBGWVFTP7U3, 5680783]
[paragraph, [108.0, 917.0, 831.0, 36.0], shoonya_1s7MBGWVFTP7U3, 5680783]
[paragraph, [108.0, 953.0, 831.0, 36.0], shoonya_1s7MBGWVFTP7U3, 5680783]
[paragraph, [108.0, 989.0, 831.0, 36.0], shoonya_1s7MBGWVFTP7U3, 5680783]
[paragraph, [108.0, 1025.0, 831.0, 36.0], shoonya_1s7MBGWVFTP7U3, 5680783]
[paragraph, [106.0, 1067.0, 836.0, 36.0], shoonya_2sRF1NB3C2I8MW, 5680783]
[paragraph, [106.0, 1103.0, 836.0, 36.0], shoonya_2sRF1NB3C2I8MW, 5680783]
[paragraph, [106.0, 1139.0, 836.0, 36.0], shoonya_2sRF1NB3C2I8MW, 5680783]
[paragraph, [107.0, 1198.0, 837.0, 36.0], Wt_20ORCrC, 5680783]
[paragraph, [107.0, 1234.0, 837.0, 36.0], Wt_20ORCrC, 5680783]
[paragraph, [107.0, 1270.0, 837.0, 36.0], Wt_20ORCrC, 5680783]
[paragraph, [108.0, 1327.0, 833.0, 36.0], SFzRnl1LgQ, 5680783]
[paragraph, [108.0, 1363.0, 833.0, 36.0], SFzRnl1LgQ, 5680783]
[paragraph, [108.0, 1399.0, 833.0, 36.0], SFzRnl1LgQ, 5680783]
[paragraph, [108.0, 1435.0, 833.0, 36.0], SFzRnl1LgQ, 5680783]
[paragraph, [108.0, 1471.0, 833.0, 36.0], SFzRnl1LgQ, 5680783]
