[2339, 1653]
[paragraph, [248.0, 243.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 279.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 315.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 351.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 387.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 423.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 459.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 495.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 531.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [248.0, 567.0, 1159.0, 36.0], shoonya_2sY0SVZU95RJEH, 5685832]
[paragraph, [253.0, 645.0, 1155.0, 36.0], shoonya_3sSGZCIO9W0QIV, 5685832]
[paragraph, [253.0, 681.0, 1155.0, 36.0], shoonya_3sSGZCIO9W0QIV, 5685832]
[paragraph, [253.0, 717.0, 1155.0, 36.0], shoonya_3sSGZCIO9W0QIV, 5685832]
[paragraph, [253.0, 753.0, 1155.0, 36.0], shoonya_3sSGZCIO9W0QIV, 5685832]
[paragraph, [253.0, 789.0, 1155.0, 36.0], shoonya_3sSGZCIO9W0QIV, 5685832]
[paragraph, [250.0, 980.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1016.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1052.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1088.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1124.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1160.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1196.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1232.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1268.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1304.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1340.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [250.0, 1376.0, 1154.0, 36.0], shoonya_0sRQBO2EESXY3V, 5685832]
[paragraph, [247.0, 1581.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1617.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1653.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1689.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1725.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1761.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1797.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1833.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1869.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1905.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1941.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 1977.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 2013.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
[paragraph, [247.0, 2049.0, 1158.0, 36.0], shoonya_1sDMWY2TMQSNWP, 5685832]
