[1326, 829]
[folio, [331.0, 83.0, 147.0, 18.0], sRUONL01bm, 5770279]
[folio, [331.0, 101.0, 147.0, 18.0], sRUONL01bm, 5770279]
[paragraph, [84.0, 139.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 157.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 175.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 193.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 211.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 229.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 247.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 265.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 283.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 301.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 319.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 337.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[paragraph, [84.0, 355.0, 336.0, 18.0], shoonya_0s0XMRI0HSYGYH, 5770279]
[ordered-list, [416.0, 143.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 161.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 179.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 197.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 215.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 233.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 251.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 269.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 287.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 305.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 323.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 341.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 359.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 377.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 395.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 413.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 431.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 449.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 467.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 485.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[ordered-list, [416.0, 503.0, 349.0, 18.0], 2uRPIXgPFc, 5770279]
[paragraph, [85.0, 375.0, 340.0, 18.0], VbZv0PbAFW, 5770279]
[paragraph, [85.0, 393.0, 340.0, 18.0], VbZv0PbAFW, 5770279]
[paragraph, [85.0, 411.0, 340.0, 18.0], VbZv0PbAFW, 5770279]
[paragraph, [85.0, 429.0, 340.0, 18.0], VbZv0PbAFW, 5770279]
[paragraph, [85.0, 447.0, 340.0, 18.0], VbZv0PbAFW, 5770279]
[paragraph, [85.0, 465.0, 340.0, 18.0], VbZv0PbAFW, 5770279]
[paragraph, [85.0, 483.0, 340.0, 18.0], VbZv0PbAFW, 5770279]
[ordered-list, [77.0, 507.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 525.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 543.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 561.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 579.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 597.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 615.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 633.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 651.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 669.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 687.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 705.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 723.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 741.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 759.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 777.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 795.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 813.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 831.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 849.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 867.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 885.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 903.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 921.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 939.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 957.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 975.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 993.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1011.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1029.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1047.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1065.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1083.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1101.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1119.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[ordered-list, [77.0, 1137.0, 344.0, 18.0], kyjXXxuLBc, 5770279]
[paragraph, [430.0, 531.0, 341.0, 18.0], scM9FNPr-e, 5770279]
[paragraph, [430.0, 549.0, 341.0, 18.0], scM9FNPr-e, 5770279]
[paragraph, [430.0, 567.0, 341.0, 18.0], scM9FNPr-e, 5770279]
[paragraph, [430.0, 585.0, 341.0, 18.0], scM9FNPr-e, 5770279]
[paragraph, [430.0, 603.0, 341.0, 18.0], scM9FNPr-e, 5770279]
[paragraph, [424.0, 627.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 645.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 663.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 681.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 699.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 717.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 735.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 753.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 771.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 789.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 807.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 825.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 843.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 861.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 879.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 897.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 915.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 933.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [424.0, 951.0, 344.0, 18.0], b0sp3zWBYp, 5770279]
[paragraph, [423.0, 970.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 988.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1006.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1024.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1042.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1060.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1078.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1096.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1114.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[paragraph, [423.0, 1132.0, 345.0, 18.0], 1g0aEr420X, 5770279]
[footnote, [83.0, 1159.0, 674.0, 18.0], 7qzI9zgcYJ, 5770279]
[footnote, [83.0, 1177.0, 674.0, 18.0], 7qzI9zgcYJ, 5770279]
[footnote, [83.0, 1195.0, 674.0, 18.0], 7qzI9zgcYJ, 5770279]
[footnote, [83.0, 1213.0, 674.0, 18.0], 7qzI9zgcYJ, 5770279]
[footnote, [83.0, 1231.0, 674.0, 18.0], 7qzI9zgcYJ, 5770279]
