[1425, 1088]
[section-title, [96.0, 95.0, 568.0, 30.0], S0Ia9HDKpE, 5758910]
[paragraph, [103.0, 172.0, 843.0, 18.0], Lxb6lsR2bG, 5758910]
[paragraph, [103.0, 190.0, 843.0, 18.0], Lxb6lsR2bG, 5758910]
[paragraph, [103.0, 208.0, 843.0, 18.0], Lxb6lsR2bG, 5758910]
[paragraph, [104.0, 261.0, 843.0, 18.0], XGhPOOuAYn, 5758910]
[paragraph, [104.0, 279.0, 843.0, 18.0], XGhPOOuAYn, 5758910]
[paragraph, [104.0, 297.0, 843.0, 18.0], XGhPOOuAYn, 5758910]
[paragraph, [102.0, 351.0, 840.0, 18.0], 3aodWoCce_, 5758910]
[paragraph, [102.0, 369.0, 840.0, 18.0], 3aodWoCce_, 5758910]
[paragraph, [102.0, 387.0, 840.0, 18.0], 3aodWoCce_, 5758910]
[unordered-list, [99.0, 428.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 446.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 464.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 482.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 500.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 518.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 536.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 554.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 572.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 590.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 608.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 626.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 644.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 662.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 680.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 698.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 716.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 734.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 752.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 770.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 788.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 806.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 824.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[unordered-list, [99.0, 842.0, 848.0, 18.0], _W9MSklNjY, 5758910]
[paragraph, [96.0, 891.0, 852.0, 18.0], CGXBXtIyNF, 5758910]
[paragraph, [96.0, 909.0, 852.0, 18.0], CGXBXtIyNF, 5758910]
[paragraph, [96.0, 927.0, 852.0, 18.0], CGXBXtIyNF, 5758910]
[section-title, [100.0, 1036.0, 103.0, 30.0], shoonya_0sXT0KZ9A106I0, 5758910]
[paragraph, [95.0, 1099.0, 855.0, 18.0], PQIJgnmYlA, 5758910]
[paragraph, [95.0, 1117.0, 855.0, 18.0], PQIJgnmYlA, 5758910]
[paragraph, [95.0, 1135.0, 855.0, 18.0], PQIJgnmYlA, 5758910]
[paragraph, [95.0, 1153.0, 855.0, 18.0], PQIJgnmYlA, 5758910]
[paragraph, [95.0, 1171.0, 855.0, 18.0], PQIJgnmYlA, 5758910]
[paragraph, [95.0, 1189.0, 855.0, 18.0], PQIJgnmYlA, 5758910]
[unordered-list, [106.0, 1248.0, 728.0, 18.0], snY416bOQp, 5758910]
[unordered-list, [106.0, 1266.0, 728.0, 18.0], snY416bOQp, 5758910]
[folio, [801.0, 1356.0, 145.0, 18.0], 0I5XEEWKRB, 5758910]
[folio, [801.0, 1374.0, 145.0, 18.0], 0I5XEEWKRB, 5758910]
