[789, 571]
[folio, [118.0, 54.0, 338.0, 18.0], shoonya_1sCOEB0YOFGMD1, 5702022]
[paragraph, [47.0, 98.0, 465.0, 18.0], shoonya_0sF8YMPQKKE9PN, 5702022]
[paragraph, [47.0, 116.0, 465.0, 18.0], shoonya_0sF8YMPQKKE9PN, 5702022]
[paragraph, [47.0, 134.0, 465.0, 18.0], shoonya_0sF8YMPQKKE9PN, 5702022]
[paragraph, [47.0, 152.0, 465.0, 18.0], shoonya_0sF8YMPQKKE9PN, 5702022]
[paragraph, [47.0, 170.0, 465.0, 18.0], shoonya_0sF8YMPQKKE9PN, 5702022]
[paragraph, [47.0, 188.0, 465.0, 18.0], shoonya_0sF8YMPQKKE9PN, 5702022]
[paragraph, [47.0, 206.0, 465.0, 18.0], shoonya_0sF8YMPQKKE9PN, 5702022]
[paragraph, [46.0, 234.0, 462.0, 18.0], ugOT5xAtfC, 5702022]
[paragraph, [46.0, 252.0, 462.0, 18.0], ugOT5xAtfC, 5702022]
[paragraph, [46.0, 270.0, 462.0, 18.0], ugOT5xAtfC, 5702022]
[paragraph, [46.0, 288.0, 462.0, 18.0], ugOT5xAtfC, 5702022]
[paragraph, [46.0, 305.0, 464.0, 18.0], qHfECFwoOi, 5702022]
[paragraph, [46.0, 323.0, 464.0, 18.0], qHfECFwoOi, 5702022]
[paragraph, [45.0, 356.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 374.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 392.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 410.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 428.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 446.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 464.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 482.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 500.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [45.0, 518.0, 468.0, 18.0], stEKf-mbZx, 5702022]
[paragraph, [48.0, 534.0, 464.0, 18.0], DRTK3D5S8q, 5702022]
[paragraph, [48.0, 552.0, 464.0, 18.0], DRTK3D5S8q, 5702022]
[paragraph, [48.0, 570.0, 464.0, 18.0], DRTK3D5S8q, 5702022]
[paragraph, [49.0, 583.0, 458.0, 18.0], TvSG8dnOXY, 5702022]
[paragraph, [49.0, 601.0, 458.0, 18.0], TvSG8dnOXY, 5702022]
[paragraph, [87.0, 631.0, 423.0, 18.0], vQw3oigv2i, 5702022]
[paragraph, [88.0, 654.0, 206.0, 18.0], gqfAXUGXzI, 5702022]
[paragraph, [88.0, 678.0, 424.0, 18.0], 2tA1i79NKw, 5702022]
[paragraph, [84.0, 700.0, 90.0, 18.0], P-vVwBN8jm, 5702022]
