[2174, 1461]
[folio, [160.0, 142.0, 188.0, 36.0], shoonya_5s3QIE3I5NSF3E, 5655000]
[paragraph, [149.0, 239.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 275.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 311.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 347.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 383.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 419.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 455.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 491.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 527.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 563.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 599.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 635.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 671.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 707.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 743.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 779.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [149.0, 815.0, 1192.0, 36.0], shoonya_0sGBC0SWY4G066, 5655000]
[paragraph, [231.0, 908.0, 948.0, 36.0], BvOb6MaHmM, 5655000]
[paragraph, [164.0, 1007.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1043.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1079.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1115.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1151.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1187.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1223.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1259.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1295.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1331.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1367.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1403.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1439.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1475.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1511.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1547.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [164.0, 1583.0, 1170.0, 36.0], shoonya_1sMGVR1GQXN8DU, 5655000]
[paragraph, [157.0, 1655.0, 1176.0, 36.0], shoonya_2sH08ING90776T, 5655000]
[paragraph, [157.0, 1691.0, 1176.0, 36.0], shoonya_2sH08ING90776T, 5655000]
[paragraph, [157.0, 1727.0, 1176.0, 36.0], shoonya_2sH08ING90776T, 5655000]
[paragraph, [157.0, 1763.0, 1176.0, 36.0], shoonya_2sH08ING90776T, 5655000]
[paragraph, [157.0, 1799.0, 1176.0, 36.0], shoonya_2sH08ING90776T, 5655000]
[paragraph, [157.0, 1835.0, 1176.0, 36.0], shoonya_2sH08ING90776T, 5655000]
[reference, [158.0, 1929.0, 662.0, 36.0], shoonya_4sHMH13SA18IDT, 5655000]
[reference, [158.0, 1965.0, 662.0, 36.0], shoonya_4sHMH13SA18IDT, 5655000]
