[690, 512]
[folio, [200.0, 38.0, 111.0, 18.0], pt3DP642tu, 6491041]
[paragraph, [14.0, 61.0, 240.0, 18.0], shoonya_0sVLSJKRMU6QB7, 6491041]
[paragraph, [14.0, 79.0, 240.0, 18.0], shoonya_0sVLSJKRMU6QB7, 6491041]
[paragraph, [257.0, 62.0, 228.0, 18.0], Q5CH2aifrd, 6491041]
[paragraph, [257.0, 80.0, 228.0, 18.0], Q5CH2aifrd, 6491041]
[paragraph, [257.0, 98.0, 228.0, 18.0], Q5CH2aifrd, 6491041]
[paragraph, [257.0, 116.0, 228.0, 18.0], Q5CH2aifrd, 6491041]
[paragraph, [20.0, 122.0, 234.0, 18.0], 3HKXxmu33l, 6491041]
[paragraph, [259.0, 137.0, 225.0, 18.0], 1W4-Bknv2r, 6491041]
[paragraph, [21.0, 150.0, 233.0, 18.0], 6JhUF60GlO, 6491041]
[paragraph, [266.0, 165.0, 209.0, 18.0], daftaSO0zB, 6491041]
[paragraph, [266.0, 183.0, 209.0, 18.0], daftaSO0zB, 6491041]
[paragraph, [266.0, 201.0, 209.0, 18.0], daftaSO0zB, 6491041]
[paragraph, [266.0, 219.0, 209.0, 18.0], daftaSO0zB, 6491041]
[paragraph, [266.0, 237.0, 209.0, 18.0], daftaSO0zB, 6491041]
[paragraph, [23.0, 180.0, 232.0, 18.0], m5N6bLJI8M, 6491041]
[paragraph, [23.0, 198.0, 232.0, 18.0], m5N6bLJI8M, 6491041]
[paragraph, [23.0, 216.0, 232.0, 18.0], m5N6bLJI8M, 6491041]
[paragraph, [23.0, 236.0, 231.0, 18.0], QNBW3Ruzq5, 6491041]
[paragraph, [23.0, 254.0, 231.0, 18.0], QNBW3Ruzq5, 6491041]
[paragraph, [23.0, 272.0, 231.0, 18.0], QNBW3Ruzq5, 6491041]
[paragraph, [23.0, 290.0, 231.0, 18.0], QNBW3Ruzq5, 6491041]
[paragraph, [23.0, 308.0, 231.0, 18.0], QNBW3Ruzq5, 6491041]
[paragraph, [23.0, 326.0, 231.0, 18.0], QNBW3Ruzq5, 6491041]
[paragraph, [23.0, 344.0, 231.0, 18.0], QNBW3Ruzq5, 6491041]
[paragraph, [260.0, 266.0, 228.0, 18.0], nhv92uV1Sc, 6491041]
[paragraph, [260.0, 284.0, 228.0, 18.0], nhv92uV1Sc, 6491041]
[paragraph, [260.0, 302.0, 228.0, 18.0], nhv92uV1Sc, 6491041]
[paragraph, [257.0, 338.0, 234.0, 18.0], kzLA-XaqI2, 6491041]
[paragraph, [257.0, 356.0, 234.0, 18.0], kzLA-XaqI2, 6491041]
[paragraph, [257.0, 374.0, 234.0, 18.0], kzLA-XaqI2, 6491041]
[paragraph, [23.0, 368.0, 230.0, 18.0], wpI-BZW8Gs, 6491041]
[paragraph, [23.0, 386.0, 230.0, 18.0], wpI-BZW8Gs, 6491041]
[paragraph, [23.0, 404.0, 230.0, 18.0], wpI-BZW8Gs, 6491041]
[paragraph, [23.0, 422.0, 230.0, 18.0], wpI-BZW8Gs, 6491041]
[paragraph, [23.0, 440.0, 230.0, 18.0], wpI-BZW8Gs, 6491041]
[paragraph, [23.0, 458.0, 230.0, 18.0], wpI-BZW8Gs, 6491041]
[paragraph, [259.0, 410.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 428.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 446.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 464.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 482.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 500.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 518.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 536.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 554.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [259.0, 572.0, 228.0, 18.0], KIveV7520D, 6491041]
[paragraph, [19.0, 482.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [19.0, 500.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [19.0, 518.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [19.0, 536.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [19.0, 554.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [19.0, 572.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [19.0, 590.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [19.0, 608.0, 233.0, 18.0], 9RafvmxtUq, 6491041]
[paragraph, [261.0, 598.0, 224.0, 18.0], 1VDWkNN2AD, 6491041]
[paragraph, [261.0, 616.0, 224.0, 18.0], 1VDWkNN2AD, 6491041]
