[1755, 1241]
[folio, [148.0, 180.0, 277.0, 36.0], z33f4ry47m, 5760763]
[paragraph, [158.0, 254.0, 853.0, 36.0], f3W3D4LeDf, 5760763]
[paragraph, [158.0, 290.0, 853.0, 36.0], f3W3D4LeDf, 5760763]
[paragraph, [152.0, 352.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 388.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 424.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 460.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 496.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 532.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 568.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 604.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 640.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 676.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 712.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 748.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 784.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 820.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 856.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 892.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 928.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [152.0, 964.0, 857.0, 36.0], 3_nnbFWuRb, 5760763]
[paragraph, [141.0, 1033.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1069.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1105.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1141.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1177.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1213.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1249.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1285.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1321.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1357.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1393.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1429.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1465.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1501.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
[paragraph, [141.0, 1537.0, 862.0, 36.0], ojlbXGpPDa, 5760763]
