[2717, 1772]
[folio, [763.0, 235.0, 196.0, 46.5], shoonya_2sRNAJSUS77BVU, 5720903]
[paragraph, [220.0, 338.0, 1340.0, 46.5], shoonya_3s3884ULEB01A2, 5720903]
[paragraph, [220.0, 384.5, 1340.0, 46.5], shoonya_3s3884ULEB01A2, 5720903]
[paragraph, [232.0, 478.0, 1317.0, 46.5], deKAyvq7ZQ, 5720903]
[paragraph, [232.0, 524.5, 1317.0, 46.5], deKAyvq7ZQ, 5720903]
[paragraph, [232.0, 571.0, 1317.0, 46.5], deKAyvq7ZQ, 5720903]
[paragraph, [232.0, 617.5, 1317.0, 46.5], deKAyvq7ZQ, 5720903]
[paragraph, [232.0, 673.0, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 719.5, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 766.0, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 812.5, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 859.0, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 905.5, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 952.0, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 998.5, 1320.0, 46.5], BUTxwvV8m0, 5720903]
[paragraph, [232.0, 1073.0, 1317.0, 46.5], pLHvfR0Kb3, 5720903]
[paragraph, [232.0, 1119.5, 1317.0, 46.5], pLHvfR0Kb3, 5720903]
[paragraph, [232.0, 1166.0, 1317.0, 46.5], pLHvfR0Kb3, 5720903]
[paragraph, [232.0, 1212.5, 1317.0, 46.5], pLHvfR0Kb3, 5720903]
[paragraph, [232.0, 1259.0, 1317.0, 46.5], pLHvfR0Kb3, 5720903]
[paragraph, [232.0, 1305.5, 1317.0, 46.5], pLHvfR0Kb3, 5720903]
[paragraph, [217.0, 1395.0, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1441.5, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1488.0, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1534.5, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1581.0, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1627.5, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1674.0, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1720.5, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1767.0, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [217.0, 1813.5, 1342.0, 46.5], vz3D3toviR, 5720903]
[paragraph, [223.0, 1893.0, 1328.0, 46.5], 9cC60fo1U8, 5720903]
[paragraph, [223.0, 1939.5, 1328.0, 46.5], 9cC60fo1U8, 5720903]
[paragraph, [223.0, 1986.0, 1328.0, 46.5], 9cC60fo1U8, 5720903]
[paragraph, [223.0, 2032.5, 1328.0, 46.5], 9cC60fo1U8, 5720903]
[paragraph, [228.0, 2121.0, 1331.0, 46.5], OEAw65pILj, 5720903]
[paragraph, [228.0, 2167.5, 1331.0, 46.5], OEAw65pILj, 5720903]
[paragraph, [228.0, 2214.0, 1331.0, 46.5], OEAw65pILj, 5720903]
[paragraph, [228.0, 2260.5, 1331.0, 46.5], OEAw65pILj, 5720903]
[paragraph, [228.0, 2307.0, 1331.0, 46.5], OEAw65pILj, 5720903]
[paragraph, [228.0, 2353.5, 1331.0, 46.5], OEAw65pILj, 5720903]
[paragraph, [228.0, 2400.0, 1331.0, 46.5], OEAw65pILj, 5720903]
[paragraph, [228.0, 2446.5, 1331.0, 46.5], OEAw65pILj, 5720903]
