[1755, 1240]
[section-title, [82.0, 538.0, 258.0, 49.5], shoonya_2sU5ISWDV9K5J1, 5705257]
[unordered-list, [103.0, 605.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 641.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 677.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 713.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 749.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 785.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 821.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 857.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 893.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 929.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 965.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1001.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1037.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1073.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1109.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1145.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1181.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1217.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1253.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1289.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1325.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1361.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1397.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1433.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
[unordered-list, [103.0, 1469.0, 1055.0, 36.0], shoonya_0s5Z9ICSV3ZT7T, 5705257]
