[2334, 1650]
[paragraph, [181.0, 137.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 173.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 209.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 245.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 281.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 317.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 353.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 389.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 425.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 461.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 497.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 533.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 569.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 605.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 641.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 677.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 713.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 749.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 785.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 821.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 857.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [181.0, 893.0, 1245.0, 36.0], shoonya_0sYUWK6UALM1HG, 5652187]
[paragraph, [164.0, 954.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 990.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1026.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1062.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1098.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1134.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1170.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1206.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1242.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1278.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1314.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1350.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1386.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1422.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1458.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1494.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [164.0, 1530.0, 1237.0, 36.0], shoonya_1s72X58BQ43H67, 5652187]
[paragraph, [174.0, 1581.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1617.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1653.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1689.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1725.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1761.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1797.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1833.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1869.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1905.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1941.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 1977.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[paragraph, [174.0, 2013.0, 1214.0, 36.0], shoonya_2sC1NIC9ZHM418, 5652187]
[folio, [1165.0, 2088.0, 126.0, 36.0], kZEACO5EBO, 5652187]
