[2062, 1548]
[folio, [17.0, 48.0, 452.0, 36.0], ujwAFuuZfY, 5712309]
[folio, [13.0, 144.0, 368.0, 36.0], iRGtK1Orto, 5712309]
[folio, [1040.0, 150.0, 191.0, 36.0], SUe4lj-wRy, 5712309]
[chapter-title, [732.0, 152.0, 312.0, 70.5], x3eTPhqf66, 5712309]
[chapter-title, [732.0, 222.5, 312.0, 70.5], x3eTPhqf66, 5712309]
[paragraph, [0.0, 195.0, 731.0, 36.0], shoonya_3sY01ED9YYJOOA, 5712309]
[paragraph, [0.0, 231.0, 731.0, 36.0], shoonya_3sY01ED9YYJOOA, 5712309]
[paragraph, [0.0, 267.0, 731.0, 36.0], shoonya_3sY01ED9YYJOOA, 5712309]
[paragraph, [0.0, 303.0, 731.0, 36.0], shoonya_3sY01ED9YYJOOA, 5712309]
[paragraph, [1030.0, 198.0, 267.0, 36.0], xS5mRdpQeT, 5712309]
[paragraph, [1030.0, 234.0, 267.0, 36.0], xS5mRdpQeT, 5712309]
[paragraph, [1030.0, 270.0, 267.0, 36.0], xS5mRdpQeT, 5712309]
[paragraph, [1030.0, 306.0, 267.0, 36.0], xS5mRdpQeT, 5712309]
[paragraph, [1030.0, 342.0, 267.0, 36.0], xS5mRdpQeT, 5712309]
[paragraph, [23.0, 351.0, 650.0, 36.0], t4R1ZA3g_v, 5712309]
[paragraph, [23.0, 387.0, 650.0, 36.0], t4R1ZA3g_v, 5712309]
[paragraph, [23.0, 423.0, 650.0, 36.0], t4R1ZA3g_v, 5712309]
[paragraph, [23.0, 459.0, 650.0, 36.0], t4R1ZA3g_v, 5712309]
[paragraph, [1028.0, 424.0, 334.0, 36.0], c1xk03P-HA, 5712309]
[paragraph, [1028.0, 460.0, 334.0, 36.0], c1xk03P-HA, 5712309]
[paragraph, [1028.0, 496.0, 334.0, 36.0], c1xk03P-HA, 5712309]
[paragraph, [1028.0, 532.0, 334.0, 36.0], c1xk03P-HA, 5712309]
[paragraph, [1028.0, 568.0, 334.0, 36.0], c1xk03P-HA, 5712309]
[paragraph, [21.0, 535.0, 698.0, 36.0], 6PMfbW7hV1, 5712309]
[paragraph, [21.0, 571.0, 698.0, 36.0], 6PMfbW7hV1, 5712309]
[sidebar, [247.0, 615.0, 224.0, 36.0], 9Lp-IoSBro, 5712309]
[paragraph, [1038.0, 640.0, 388.0, 36.0], fvMdtg1hJZ, 5712309]
[paragraph, [1038.0, 676.0, 388.0, 36.0], fvMdtg1hJZ, 5712309]
[paragraph, [1038.0, 712.0, 388.0, 36.0], fvMdtg1hJZ, 5712309]
[paragraph, [1038.0, 748.0, 388.0, 36.0], fvMdtg1hJZ, 5712309]
[paragraph, [1038.0, 784.0, 388.0, 36.0], fvMdtg1hJZ, 5712309]
[paragraph, [31.0, 695.0, 325.0, 36.0], IrDsppzM-8, 5712309]
[paragraph, [18.0, 754.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 790.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 826.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 862.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 898.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 934.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 970.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1006.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1042.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1078.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1114.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1150.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1186.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1222.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1258.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1294.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1330.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [18.0, 1366.0, 348.0, 36.0], HHZfZZMeUp, 5712309]
[paragraph, [1044.0, 847.0, 372.0, 36.0], 0dWTSMPXM-, 5712309]
[paragraph, [1044.0, 883.0, 372.0, 36.0], 0dWTSMPXM-, 5712309]
[paragraph, [1044.0, 919.0, 372.0, 36.0], 0dWTSMPXM-, 5712309]
[paragraph, [1044.0, 955.0, 372.0, 36.0], 0dWTSMPXM-, 5712309]
[paragraph, [1044.0, 991.0, 372.0, 36.0], 0dWTSMPXM-, 5712309]
[sidebar, [1134.0, 1070.0, 265.0, 36.0], Q2ytiPexKD, 5712309]
