[1723, 1092]
[paragraph, [106.0, 106.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 142.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 178.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 214.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 250.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 286.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 322.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 358.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 394.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 430.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 466.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 502.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [106.0, 538.0, 883.0, 36.0], shoonya_0sQSS1BKTBMJUP, 5680513]
[paragraph, [109.0, 609.0, 880.0, 36.0], shoonya_2s9SAD2DPNU1D6, 5680513]
[paragraph, [109.0, 645.0, 880.0, 36.0], shoonya_2s9SAD2DPNU1D6, 5680513]
[paragraph, [109.0, 681.0, 880.0, 36.0], shoonya_2s9SAD2DPNU1D6, 5680513]
[paragraph, [107.0, 745.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 781.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 817.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 853.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 889.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 925.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 961.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 997.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 1033.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 1069.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 1105.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 1141.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [107.0, 1177.0, 882.0, 36.0], shoonya_1sOLUUMBELJX6K, 5680513]
[paragraph, [104.0, 1247.0, 883.0, 36.0], shoonya_3s210VNTRAZ27E, 5680513]
[paragraph, [104.0, 1283.0, 883.0, 36.0], shoonya_3s210VNTRAZ27E, 5680513]
[paragraph, [104.0, 1319.0, 883.0, 36.0], shoonya_3s210VNTRAZ27E, 5680513]
[paragraph, [104.0, 1355.0, 883.0, 36.0], shoonya_3s210VNTRAZ27E, 5680513]
[paragraph, [104.0, 1391.0, 883.0, 36.0], shoonya_3s210VNTRAZ27E, 5680513]
[paragraph, [104.0, 1427.0, 883.0, 36.0], shoonya_3s210VNTRAZ27E, 5680513]
[paragraph, [102.0, 1478.0, 884.0, 36.0], dKodjUgt9t, 5680513]
[paragraph, [102.0, 1514.0, 884.0, 36.0], dKodjUgt9t, 5680513]
