[1684, 1191]
[folio, [388.0, 93.0, 401.0, 36.0], NDmSIgSldx, 6463728]
[paragraph, [80.0, 186.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 222.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 258.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 294.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 330.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 366.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 402.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 438.0, 1018.0, 36.0], FRK3RjjrKJ, 6463728]
[paragraph, [80.0, 510.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 546.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 582.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 618.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 654.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 690.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 726.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 762.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 798.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 834.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 870.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 906.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 942.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 978.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 1014.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [80.0, 1050.0, 1019.0, 36.0], RwaJXNerrV, 6463728]
[paragraph, [89.0, 1122.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1158.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1194.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1230.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1266.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1302.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1338.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1374.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1410.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
[paragraph, [89.0, 1446.0, 1016.0, 36.0], aXZC7T1xby, 6463728]
