[2428, 1814]
[answer, [953.0, 165.0, 729.0, 36.0], rJ-nZ9l6Kk, 5693794]
[answer, [953.0, 201.0, 729.0, 36.0], rJ-nZ9l6Kk, 5693794]
[answer, [953.0, 237.0, 729.0, 36.0], rJ-nZ9l6Kk, 5693794]
[paragraph, [206.0, 170.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 206.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 242.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 278.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 314.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 350.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 386.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 422.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 458.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 494.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 530.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 566.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 602.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [206.0, 638.0, 722.0, 36.0], shoonya_0sILGNC5E862E6, 5693794]
[paragraph, [960.0, 291.0, 715.0, 36.0], RGGQiX4L8-, 5693794]
[paragraph, [960.0, 327.0, 715.0, 36.0], RGGQiX4L8-, 5693794]
[paragraph, [960.0, 363.0, 715.0, 36.0], RGGQiX4L8-, 5693794]
[paragraph, [960.0, 399.0, 715.0, 36.0], RGGQiX4L8-, 5693794]
[answer, [964.0, 748.0, 713.0, 36.0], esXG-vXToE, 5693794]
[answer, [206.0, 782.0, 720.0, 36.0], WQY8bNh4_u, 5693794]
[answer, [206.0, 818.0, 720.0, 36.0], WQY8bNh4_u, 5693794]
[answer, [206.0, 854.0, 720.0, 36.0], WQY8bNh4_u, 5693794]
[answer, [206.0, 890.0, 720.0, 36.0], WQY8bNh4_u, 5693794]
[answer, [206.0, 926.0, 720.0, 36.0], WQY8bNh4_u, 5693794]
[answer, [208.0, 1009.0, 722.0, 36.0], yoR-PJcdS2, 5693794]
[answer, [208.0, 1045.0, 722.0, 36.0], yoR-PJcdS2, 5693794]
[paragraph, [960.0, 1011.0, 720.0, 36.0], zZYvg2OHRi, 5693794]
[paragraph, [208.0, 1090.0, 715.0, 36.0], CB8wzWyAkr, 5693794]
[paragraph, [957.0, 1124.0, 729.0, 36.0], -I5WOiVrhX, 5693794]
[paragraph, [957.0, 1160.0, 729.0, 36.0], -I5WOiVrhX, 5693794]
[paragraph, [215.0, 1162.0, 715.0, 36.0], tXVrzW3EeN, 5693794]
[paragraph, [215.0, 1198.0, 715.0, 36.0], tXVrzW3EeN, 5693794]
[paragraph, [215.0, 1234.0, 715.0, 36.0], tXVrzW3EeN, 5693794]
[paragraph, [1000.0, 1242.0, 380.0, 36.0], 5gaTXNjh0M, 5693794]
[paragraph, [960.0, 1359.0, 729.0, 36.0], AF_SDcZ1vx, 5693794]
[paragraph, [960.0, 1395.0, 729.0, 36.0], AF_SDcZ1vx, 5693794]
[paragraph, [960.0, 1431.0, 729.0, 36.0], AF_SDcZ1vx, 5693794]
[paragraph, [960.0, 1467.0, 729.0, 36.0], AF_SDcZ1vx, 5693794]
[paragraph, [960.0, 1503.0, 729.0, 36.0], AF_SDcZ1vx, 5693794]
[paragraph, [960.0, 1539.0, 729.0, 36.0], AF_SDcZ1vx, 5693794]
[paragraph, [960.0, 1575.0, 729.0, 36.0], AF_SDcZ1vx, 5693794]
[answer, [208.0, 1513.0, 715.0, 36.0], aMVHt1TWnf, 5693794]
[paragraph, [996.0, 1620.0, 362.0, 36.0], v470Y4aofc, 5693794]
[paragraph, [953.0, 1665.0, 726.0, 36.0], gFZn9rTjhz, 5693794]
[paragraph, [953.0, 1701.0, 726.0, 36.0], gFZn9rTjhz, 5693794]
[paragraph, [953.0, 1737.0, 726.0, 36.0], gFZn9rTjhz, 5693794]
[paragraph, [953.0, 1773.0, 726.0, 36.0], gFZn9rTjhz, 5693794]
[paragraph, [953.0, 1809.0, 726.0, 36.0], gFZn9rTjhz, 5693794]
[paragraph, [953.0, 1845.0, 726.0, 36.0], gFZn9rTjhz, 5693794]
[answer, [208.0, 1667.0, 715.0, 36.0], KymUcho89u, 5693794]
[paragraph, [210.0, 1742.0, 717.0, 36.0], GMi8EZXxGU, 5693794]
[paragraph, [212.0, 1819.0, 713.0, 36.0], 7t4pxUWO0q, 5693794]
[paragraph, [212.0, 1855.0, 713.0, 36.0], 7t4pxUWO0q, 5693794]
[paragraph, [212.0, 1891.0, 713.0, 36.0], 7t4pxUWO0q, 5693794]
[paragraph, [212.0, 1927.0, 713.0, 36.0], 7t4pxUWO0q, 5693794]
[paragraph, [212.0, 1963.0, 713.0, 36.0], 7t4pxUWO0q, 5693794]
[paragraph, [212.0, 1999.0, 713.0, 36.0], 7t4pxUWO0q, 5693794]
[paragraph, [960.0, 1891.0, 717.0, 36.0], KXmJbe_Lzt, 5693794]
[paragraph, [960.0, 1927.0, 717.0, 36.0], KXmJbe_Lzt, 5693794]
[paragraph, [960.0, 1963.0, 717.0, 36.0], KXmJbe_Lzt, 5693794]
[paragraph, [960.0, 1999.0, 717.0, 36.0], KXmJbe_Lzt, 5693794]
[paragraph, [960.0, 2035.0, 717.0, 36.0], KXmJbe_Lzt, 5693794]
[paragraph, [960.0, 2071.0, 717.0, 36.0], KXmJbe_Lzt, 5693794]
[paragraph, [210.0, 2043.0, 715.0, 36.0], 7-58C2cnzh, 5693794]
[paragraph, [210.0, 2079.0, 715.0, 36.0], 7-58C2cnzh, 5693794]
[paragraph, [964.0, 2129.0, 715.0, 36.0], 9ihrnnVNGK, 5693794]
[paragraph, [964.0, 2165.0, 715.0, 36.0], 9ihrnnVNGK, 5693794]
[paragraph, [964.0, 2201.0, 715.0, 36.0], 9ihrnnVNGK, 5693794]
[folio, [658.0, 2293.0, 596.0, 36.0], PwJdfvJdbN, 5693794]
