[3509, 2480]
[paragraph, [354.0, 385.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 437.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 490.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 542.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 595.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 647.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 700.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 752.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 805.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 857.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 910.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 962.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1015.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1067.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1120.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1172.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1225.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1277.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1330.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1382.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1435.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1487.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1540.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1592.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1645.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1697.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1750.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1802.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1855.0, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [354.0, 1907.5, 1785.0, 52.5], shoonya_1s095K6ZC5M0LZ, 5724367]
[paragraph, [362.0, 2027.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2079.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2132.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2184.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2237.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2289.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2342.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2394.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2447.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2499.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2552.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2604.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2657.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2709.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2762.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2814.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2867.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2919.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 2972.0, 1766.0, 52.5], xUT0UFwOkF, 5724367]
[paragraph, [362.0, 3024.5, 1766.0, 52.5], xUT0UFwOkF, 5724367]
