[1754, 1241]
[paragraph, [263.0, 97.0, 170.0, 36.0], mhVvjpSAA0, 5706740]
[ordered-list, [200.0, 139.0, 909.0, 36.0], iGCfJa_9OU, 5706740]
[ordered-list, [200.0, 175.0, 909.0, 36.0], iGCfJa_9OU, 5706740]
[ordered-list, [200.0, 211.0, 909.0, 36.0], iGCfJa_9OU, 5706740]
[ordered-list, [200.0, 247.0, 909.0, 36.0], iGCfJa_9OU, 5706740]
[ordered-list, [142.0, 336.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 372.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 408.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 444.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 480.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 516.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 552.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 588.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 624.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 660.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 696.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 732.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 768.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 804.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 840.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 876.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 912.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 948.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 984.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 1020.0, 954.0, 36.0], iIjwwaemsW, 5706740]
[ordered-list, [142.0, 1056.0, 954.0, 36.0], iIjwwaemsW, 5706740]
