[1951, 1219]
[paragraph, [129.0, 215.0, 978.0, 36.0], shoonya_0sPQ23WP6LD3VU, 5683165]
[paragraph, [129.0, 251.0, 978.0, 36.0], shoonya_0sPQ23WP6LD3VU, 5683165]
[paragraph, [129.0, 287.0, 978.0, 36.0], shoonya_0sPQ23WP6LD3VU, 5683165]
[paragraph, [129.0, 323.0, 978.0, 36.0], shoonya_0sPQ23WP6LD3VU, 5683165]
[paragraph, [129.0, 359.0, 978.0, 36.0], shoonya_0sPQ23WP6LD3VU, 5683165]
[paragraph, [129.0, 395.0, 978.0, 36.0], shoonya_0sPQ23WP6LD3VU, 5683165]
[paragraph, [127.0, 449.0, 964.0, 36.0], 9mbJakS7kG, 5683165]
[paragraph, [127.0, 485.0, 964.0, 36.0], 9mbJakS7kG, 5683165]
[paragraph, [127.0, 521.0, 964.0, 36.0], 9mbJakS7kG, 5683165]
[paragraph, [210.0, 567.0, 490.0, 36.0], zxTgaS38K-, 5683165]
[paragraph, [131.0, 623.0, 967.0, 36.0], 3VNx7Al0mK, 5683165]
[paragraph, [131.0, 659.0, 967.0, 36.0], 3VNx7Al0mK, 5683165]
[paragraph, [131.0, 695.0, 967.0, 36.0], 3VNx7Al0mK, 5683165]
[paragraph, [131.0, 731.0, 967.0, 36.0], 3VNx7Al0mK, 5683165]
[paragraph, [129.0, 801.0, 963.0, 36.0], M3T8fu5dbK, 5683165]
[paragraph, [129.0, 837.0, 963.0, 36.0], M3T8fu5dbK, 5683165]
[paragraph, [132.0, 913.0, 964.0, 36.0], jeDPvXKYYO, 5683165]
[paragraph, [132.0, 949.0, 964.0, 36.0], jeDPvXKYYO, 5683165]
[paragraph, [132.0, 985.0, 964.0, 36.0], jeDPvXKYYO, 5683165]
[paragraph, [132.0, 1030.0, 961.0, 36.0], pQnwTH_umd, 5683165]
[paragraph, [132.0, 1066.0, 961.0, 36.0], pQnwTH_umd, 5683165]
[paragraph, [132.0, 1102.0, 961.0, 36.0], pQnwTH_umd, 5683165]
[paragraph, [132.0, 1138.0, 961.0, 36.0], pQnwTH_umd, 5683165]
[paragraph, [146.0, 1201.0, 946.0, 36.0], 0aI5QdcIke, 5683165]
[paragraph, [146.0, 1237.0, 946.0, 36.0], 0aI5QdcIke, 5683165]
[paragraph, [146.0, 1273.0, 946.0, 36.0], 0aI5QdcIke, 5683165]
[paragraph, [146.0, 1309.0, 946.0, 36.0], 0aI5QdcIke, 5683165]
[paragraph, [150.0, 1373.0, 941.0, 36.0], EYfB5FZ7JM, 5683165]
[paragraph, [150.0, 1409.0, 941.0, 36.0], EYfB5FZ7JM, 5683165]
[paragraph, [150.0, 1445.0, 941.0, 36.0], EYfB5FZ7JM, 5683165]
[paragraph, [150.0, 1481.0, 941.0, 36.0], EYfB5FZ7JM, 5683165]
[paragraph, [149.0, 1545.0, 941.0, 36.0], ZDZtQvfgd8, 5683165]
[paragraph, [149.0, 1581.0, 941.0, 36.0], ZDZtQvfgd8, 5683165]
[paragraph, [150.0, 1661.0, 940.0, 36.0], kuqwgx9vIP, 5683165]
[paragraph, [150.0, 1697.0, 940.0, 36.0], kuqwgx9vIP, 5683165]
[paragraph, [150.0, 1733.0, 940.0, 36.0], kuqwgx9vIP, 5683165]
[paragraph, [214.0, 1777.0, 841.0, 36.0], cp90MgvIzz, 5683165]
