[2481, 1654]
[folio, [339.0, 101.0, 144.0, 36.0], yKZWbQFsx-, 5721596]
[paragraph, [283.0, 215.0, 591.0, 36.0], m_uqF5dF86, 5721596]
[paragraph, [225.0, 272.0, 1277.0, 36.0], DARMUNY0eR, 5721596]
[paragraph, [225.0, 308.0, 1277.0, 36.0], DARMUNY0eR, 5721596]
[paragraph, [225.0, 344.0, 1277.0, 36.0], DARMUNY0eR, 5721596]
[paragraph, [225.0, 380.0, 1277.0, 36.0], DARMUNY0eR, 5721596]
[paragraph, [225.0, 416.0, 1277.0, 36.0], DARMUNY0eR, 5721596]
[paragraph, [277.0, 479.0, 758.0, 36.0], fqdgrSK6iL, 5721596]
[paragraph, [225.0, 533.0, 1273.0, 36.0], Ah8j3piXb8, 5721596]
[paragraph, [225.0, 569.0, 1273.0, 36.0], Ah8j3piXb8, 5721596]
[paragraph, [225.0, 605.0, 1273.0, 36.0], Ah8j3piXb8, 5721596]
[paragraph, [225.0, 641.0, 1273.0, 36.0], Ah8j3piXb8, 5721596]
[paragraph, [225.0, 677.0, 1273.0, 36.0], Ah8j3piXb8, 5721596]
[paragraph, [225.0, 713.0, 1273.0, 36.0], Ah8j3piXb8, 5721596]
[paragraph, [225.0, 749.0, 1273.0, 36.0], Ah8j3piXb8, 5721596]
[paragraph, [227.0, 795.0, 1269.0, 36.0], pFuqsTbUwC, 5721596]
[paragraph, [227.0, 831.0, 1269.0, 36.0], pFuqsTbUwC, 5721596]
[paragraph, [231.0, 897.0, 1261.0, 36.0], Bv9FvO2JrL, 5721596]
[paragraph, [231.0, 933.0, 1261.0, 36.0], Bv9FvO2JrL, 5721596]
[paragraph, [223.0, 1000.0, 1269.0, 36.0], CmT4qoH-uU, 5721596]
[paragraph, [223.0, 1036.0, 1269.0, 36.0], CmT4qoH-uU, 5721596]
[paragraph, [225.0, 1108.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [225.0, 1144.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [225.0, 1180.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [225.0, 1216.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [225.0, 1252.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [225.0, 1288.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [225.0, 1324.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [225.0, 1360.0, 1273.0, 36.0], nrschkrBaO, 5721596]
[paragraph, [231.0, 1417.0, 1270.0, 36.0], shoonya_2sU0FUKF41IU68, 5721596]
[paragraph, [231.0, 1453.0, 1270.0, 36.0], shoonya_2sU0FUKF41IU68, 5721596]
[paragraph, [231.0, 1489.0, 1270.0, 36.0], shoonya_2sU0FUKF41IU68, 5721596]
[paragraph, [231.0, 1525.0, 1270.0, 36.0], shoonya_2sU0FUKF41IU68, 5721596]
[paragraph, [223.0, 1575.0, 1281.0, 36.0], cKfItPxXXL, 5721596]
[paragraph, [223.0, 1611.0, 1281.0, 36.0], cKfItPxXXL, 5721596]
[paragraph, [223.0, 1647.0, 1281.0, 36.0], cKfItPxXXL, 5721596]
[paragraph, [223.0, 1683.0, 1281.0, 36.0], cKfItPxXXL, 5721596]
[paragraph, [223.0, 1719.0, 1281.0, 36.0], cKfItPxXXL, 5721596]
[paragraph, [223.0, 1782.0, 1277.0, 36.0], t5W6Ed0o7_, 5721596]
[paragraph, [223.0, 1818.0, 1277.0, 36.0], t5W6Ed0o7_, 5721596]
[paragraph, [223.0, 1854.0, 1277.0, 36.0], t5W6Ed0o7_, 5721596]
[paragraph, [223.0, 1890.0, 1277.0, 36.0], t5W6Ed0o7_, 5721596]
[paragraph, [281.0, 1941.0, 824.0, 36.0], tk59OWLKgK, 5721596]
[paragraph, [281.0, 1991.0, 1139.0, 36.0], ESVLvotGr2, 5721596]
[paragraph, [224.0, 2044.0, 1272.0, 36.0], shoonya_1sMAM3D41F31YA, 5721596]
[paragraph, [224.0, 2080.0, 1272.0, 36.0], shoonya_1sMAM3D41F31YA, 5721596]
[paragraph, [224.0, 2116.0, 1272.0, 36.0], shoonya_1sMAM3D41F31YA, 5721596]
[paragraph, [224.0, 2152.0, 1272.0, 36.0], shoonya_1sMAM3D41F31YA, 5721596]
