[671, 419]
[folio, [174.0, 9.0, 79.0, 18.0], _s3wPCqud0, 5748745]
[paragraph, [24.0, 78.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 96.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 114.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 132.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 150.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 168.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 186.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 204.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 222.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 240.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 258.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 276.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 294.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 312.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 330.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 348.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 366.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 384.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 402.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [24.0, 420.0, 373.0, 18.0], shoonya_1sAXK8FY5APRTH, 5748745]
[paragraph, [23.0, 441.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 459.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 477.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 495.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 513.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 531.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 549.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 567.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 585.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [23.0, 603.0, 373.0, 18.0], shoonya_0sFCL6D17EZOT3, 5748745]
[paragraph, [63.0, 635.0, 327.0, 18.0], VvkhN6jeQn, 5748745]
