[1200, 825]
[paragraph, [142.0, 108.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 126.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 144.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 162.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 180.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 198.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 216.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 234.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 252.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 270.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 288.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 306.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 324.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 342.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 360.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 378.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [142.0, 396.0, 538.0, 18.0], -T6UAcxMH2, 5691005]
[paragraph, [144.0, 416.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 434.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 452.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 470.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 488.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 506.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 524.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 542.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 560.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 578.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 596.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 614.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 632.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 650.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 668.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 686.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 704.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 722.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 740.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 758.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 776.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 794.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 812.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 830.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 848.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 866.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 884.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 902.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 920.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 938.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 956.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 974.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 992.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 1010.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 1028.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
[paragraph, [144.0, 1046.0, 534.0, 18.0], shoonya_0sHL0RL884W7WN, 5691005]
