[1087, 688]
[paragraph, [49.0, 106.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 124.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 142.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 160.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 178.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 196.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 214.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 232.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [49.0, 250.0, 573.0, 18.0], shoonya_2s0MPL5E5LAVAA, 5760361]
[paragraph, [53.0, 273.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 291.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 309.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 327.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 345.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 363.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 381.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 399.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 417.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 435.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 453.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 471.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 489.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 507.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 525.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 543.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 561.0, 570.0, 18.0], shoonya_1sBSU02Q30RUNN, 5760361]
[paragraph, [53.0, 589.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 607.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 625.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 643.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 661.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 679.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 697.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 715.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 733.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 751.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 769.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 787.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 805.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 823.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 841.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 859.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 877.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 895.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
[paragraph, [53.0, 913.0, 575.0, 18.0], shoonya_0sNPWCZOKL05UD, 5760361]
