[2067, 1567]
[folio, [1263.0, 186.0, 107.0, 36.0], EYiIgpm8Rw, 5736030]
[folio, [193.0, 195.0, 120.0, 36.0], q9Pj7TE1RV, 5736030]
[section-title, [793.0, 247.0, 186.0, 52.5], shoonya_10sHRLQO9DD3E0, 5736030]
[paragraph, [192.0, 254.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 290.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 326.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 362.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 398.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 434.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 470.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 506.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 542.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 578.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 614.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[paragraph, [192.0, 650.0, 582.0, 36.0], shoonya_1sPEDDF5E2WD8E, 5736030]
[folio, [797.0, 392.0, 258.0, 36.0], apOMDbsu-F, 5736030]
[paragraph, [1052.0, 430.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 466.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 502.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 538.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 574.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 610.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 646.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 682.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [1052.0, 718.0, 319.0, 36.0], shoonya_6sMKD8UE483NGL, 5736030]
[paragraph, [193.0, 695.0, 585.0, 36.0], 1dp4liU7A3, 5736030]
[paragraph, [193.0, 731.0, 585.0, 36.0], 1dp4liU7A3, 5736030]
[paragraph, [193.0, 767.0, 585.0, 36.0], 1dp4liU7A3, 5736030]
[paragraph, [193.0, 803.0, 585.0, 36.0], 1dp4liU7A3, 5736030]
[paragraph, [193.0, 839.0, 585.0, 36.0], 1dp4liU7A3, 5736030]
[paragraph, [193.0, 875.0, 585.0, 36.0], 1dp4liU7A3, 5736030]
[paragraph, [792.0, 785.0, 578.0, 36.0], shoonya_3s667JG1QLYSUQ, 5736030]
[paragraph, [792.0, 821.0, 578.0, 36.0], shoonya_3s667JG1QLYSUQ, 5736030]
[paragraph, [792.0, 857.0, 578.0, 36.0], shoonya_3s667JG1QLYSUQ, 5736030]
[paragraph, [792.0, 893.0, 578.0, 36.0], shoonya_3s667JG1QLYSUQ, 5736030]
[paragraph, [792.0, 929.0, 578.0, 36.0], shoonya_3s667JG1QLYSUQ, 5736030]
[paragraph, [792.0, 965.0, 578.0, 36.0], shoonya_3s667JG1QLYSUQ, 5736030]
[paragraph, [792.0, 1001.0, 578.0, 36.0], shoonya_3s667JG1QLYSUQ, 5736030]
[paragraph, [193.0, 918.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 954.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 990.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 1026.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 1062.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 1098.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 1134.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 1170.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [193.0, 1206.0, 581.0, 36.0], shoonya_0s59PJMQFY1K18, 5736030]
[paragraph, [789.0, 1050.0, 588.0, 36.0], shoonya_5sGO3QLECZKUSC, 5736030]
[paragraph, [789.0, 1086.0, 588.0, 36.0], shoonya_5sGO3QLECZKUSC, 5736030]
[paragraph, [789.0, 1122.0, 588.0, 36.0], shoonya_5sGO3QLECZKUSC, 5736030]
[paragraph, [789.0, 1158.0, 588.0, 36.0], shoonya_5sGO3QLECZKUSC, 5736030]
[paragraph, [789.0, 1194.0, 588.0, 36.0], shoonya_5sGO3QLECZKUSC, 5736030]
[paragraph, [789.0, 1230.0, 588.0, 36.0], shoonya_5sGO3QLECZKUSC, 5736030]
[paragraph, [789.0, 1266.0, 588.0, 36.0], shoonya_5sGO3QLECZKUSC, 5736030]
[paragraph, [194.0, 1274.0, 580.0, 36.0], shoonya_2sECIK3F9Q8283, 5736030]
