[842, 596]
[folio, [62.0, 32.0, 128.0, 18.0], shoonya_0sSL38LFOIIC35, 5748326]
[paragraph, [58.0, 70.0, 472.0, 18.0], PZyFCDI-v3, 5748326]
[paragraph, [58.0, 88.0, 472.0, 18.0], PZyFCDI-v3, 5748326]
[ordered-list, [53.0, 119.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 137.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 155.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 173.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 191.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 209.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 227.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 245.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 263.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 281.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 299.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 317.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 335.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 353.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 371.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 389.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 407.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 425.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 443.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 461.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 479.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 497.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 515.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 533.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 551.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 569.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 587.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 605.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 623.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 641.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 659.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 677.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 695.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 713.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 731.0, 480.0, 18.0], TUrnHL_kds, 5748326]
[ordered-list, [53.0, 749.0, 480.0, 18.0], TUrnHL_kds, 5748326]
