[1200, 825]
[paragraph, [112.0, 110.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 128.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 146.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 164.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 182.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 200.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 218.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 236.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 254.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 272.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 290.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 308.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 326.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 344.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 362.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 380.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 398.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 416.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 434.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 452.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 470.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 488.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [112.0, 506.0, 578.0, 18.0], shoonya_0sP184OVQLG8AA, 5691356]
[paragraph, [126.0, 536.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 554.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 572.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 590.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 608.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 626.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 644.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 662.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 680.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 698.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 716.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 734.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 752.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 770.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 788.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 806.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 824.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 842.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 860.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 878.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 896.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 914.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 932.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 950.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 968.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 986.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
[paragraph, [126.0, 1004.0, 568.0, 18.0], 3GhI_2Refo, 5691356]
