[1755, 1240]
[paragraph, [176.0, 191.0, 886.0, 36.0], shoonya_3sG2WMODN43E6L, 5703788]
[paragraph, [176.0, 227.0, 886.0, 36.0], shoonya_3sG2WMODN43E6L, 5703788]
[paragraph, [176.0, 263.0, 886.0, 36.0], shoonya_3sG2WMODN43E6L, 5703788]
[paragraph, [176.0, 299.0, 886.0, 36.0], shoonya_3sG2WMODN43E6L, 5703788]
[paragraph, [176.0, 335.0, 886.0, 36.0], shoonya_3sG2WMODN43E6L, 5703788]
[paragraph, [176.0, 371.0, 886.0, 36.0], shoonya_3sG2WMODN43E6L, 5703788]
[paragraph, [176.0, 438.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 474.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 510.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 546.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 582.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 618.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 654.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 690.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [176.0, 726.0, 888.0, 36.0], shoonya_0sJVAJ3MN76HKS, 5703788]
[paragraph, [175.0, 804.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 840.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 876.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 912.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 948.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 984.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 1020.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 1056.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 1092.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [175.0, 1128.0, 888.0, 36.0], shoonya_1sCAH7437BMLBJ, 5703788]
[paragraph, [176.0, 1227.0, 883.0, 36.0], f3iP95wKvx, 5703788]
[paragraph, [176.0, 1263.0, 883.0, 36.0], f3iP95wKvx, 5703788]
[paragraph, [176.0, 1299.0, 883.0, 36.0], f3iP95wKvx, 5703788]
[paragraph, [176.0, 1335.0, 883.0, 36.0], f3iP95wKvx, 5703788]
[paragraph, [176.0, 1371.0, 883.0, 36.0], f3iP95wKvx, 5703788]
[paragraph, [176.0, 1407.0, 883.0, 36.0], f3iP95wKvx, 5703788]
[paragraph, [182.0, 1476.0, 878.0, 36.0], shoonya_2sY85U4HHW0XFI, 5703788]
[paragraph, [182.0, 1512.0, 878.0, 36.0], shoonya_2sY85U4HHW0XFI, 5703788]
[paragraph, [182.0, 1548.0, 878.0, 36.0], shoonya_2sY85U4HHW0XFI, 5703788]
