[1240, 875]
[paragraph, [50.0, 43.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 61.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 79.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 97.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 115.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 133.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 151.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 169.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 187.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 205.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 223.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 241.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 259.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 277.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 295.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 313.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 331.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 349.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 367.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 385.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 403.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 421.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 439.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 457.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 475.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 493.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 511.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 529.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 547.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 565.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 583.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 601.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 619.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 637.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 655.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 673.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 691.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 709.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 727.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 745.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 763.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 781.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 799.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 817.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 835.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 853.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 871.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 889.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 907.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 925.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 943.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 961.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 979.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 997.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1015.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1033.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1051.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1069.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1087.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1105.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1123.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1141.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
[paragraph, [50.0, 1159.0, 777.0, 18.0], shoonya_0sUVTR5WRYE4NZ, 5774378]
