[842, 595]
[author, [389.0, 213.0, 80.0, 18.0], 65Pis6TwIX, 6513580]
[paragraph, [141.0, 232.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 250.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 268.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 286.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 304.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 322.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 340.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 358.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 376.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 394.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 412.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 430.0, 326.0, 18.0], shoonya_0sP7AREEHTQBIW, 6513580]
[paragraph, [141.0, 460.0, 326.0, 18.0], P4n_ycKVfo, 6513580]
[paragraph, [141.0, 478.0, 326.0, 18.0], P4n_ycKVfo, 6513580]
[paragraph, [141.0, 496.0, 326.0, 18.0], P4n_ycKVfo, 6513580]
[paragraph, [141.0, 514.0, 326.0, 18.0], P4n_ycKVfo, 6513580]
[paragraph, [141.0, 532.0, 326.0, 18.0], P4n_ycKVfo, 6513580]
[paragraph, [141.0, 554.0, 327.0, 18.0], PM9_XrueRh, 6513580]
[paragraph, [141.0, 572.0, 327.0, 18.0], PM9_XrueRh, 6513580]
[paragraph, [141.0, 590.0, 327.0, 18.0], PM9_XrueRh, 6513580]
[paragraph, [141.0, 608.0, 327.0, 18.0], PM9_XrueRh, 6513580]
[paragraph, [141.0, 626.0, 327.0, 18.0], PM9_XrueRh, 6513580]
[paragraph, [141.0, 644.0, 327.0, 18.0], PM9_XrueRh, 6513580]
