[2200, 1700]
[paragraph, [371.0, 118.0, 1143.0, 36.0], aciL7NpzTh, 5734373]
[paragraph, [371.0, 154.0, 1143.0, 36.0], aciL7NpzTh, 5734373]
[paragraph, [373.0, 247.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 283.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 319.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 355.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 391.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 427.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 463.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 499.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 535.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 571.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 607.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 643.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 679.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 715.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 751.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 787.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 823.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 859.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 895.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 931.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 967.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 1003.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 1039.0, 1131.0, 36.0], shoonya_0s6FDTP2OMUTLC, 5734373]
[paragraph, [373.0, 1102.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1138.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1174.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1210.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1246.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1282.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1318.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1354.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1390.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1426.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1462.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1498.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1534.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1570.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [373.0, 1606.0, 1133.0, 36.0], shoonya_1sADQHJ07IUUTH, 5734373]
[paragraph, [374.0, 1681.0, 1132.0, 36.0], shoonya_2sZHQKBMRSNAGH, 5734373]
[paragraph, [374.0, 1717.0, 1132.0, 36.0], shoonya_2sZHQKBMRSNAGH, 5734373]
[paragraph, [374.0, 1753.0, 1132.0, 36.0], shoonya_2sZHQKBMRSNAGH, 5734373]
[paragraph, [374.0, 1789.0, 1132.0, 36.0], shoonya_2sZHQKBMRSNAGH, 5734373]
[paragraph, [374.0, 1825.0, 1132.0, 36.0], shoonya_2sZHQKBMRSNAGH, 5734373]
[paragraph, [374.0, 1861.0, 1132.0, 36.0], shoonya_2sZHQKBMRSNAGH, 5734373]
[paragraph, [373.0, 1980.0, 1129.0, 36.0], shoonya_3sWZNV2Q5WX7N8, 5734373]
[paragraph, [373.0, 2016.0, 1129.0, 36.0], shoonya_3sWZNV2Q5WX7N8, 5734373]
[paragraph, [373.0, 2052.0, 1129.0, 36.0], shoonya_3sWZNV2Q5WX7N8, 5734373]
