[3300, 2550]
[paragraph, [258.0, 255.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 307.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 360.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 412.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 465.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 517.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 570.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 622.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 675.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 727.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 780.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 832.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 885.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 937.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 990.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1042.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1095.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1147.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1200.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1252.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1305.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1357.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1410.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1462.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1515.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1567.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1620.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1672.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1725.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1777.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1830.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1882.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1935.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 1987.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2040.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2092.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2145.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2197.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2250.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2302.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2355.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2407.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2460.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2512.5, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [258.0, 2565.0, 2040.0, 52.5], shoonya_1s6IBN03KSOVC1, 5719996]
[paragraph, [261.0, 2678.0, 2024.0, 52.5], XVdX2MpkJm, 5719996]
[paragraph, [261.0, 2730.5, 2024.0, 52.5], XVdX2MpkJm, 5719996]
[paragraph, [261.0, 2783.0, 2024.0, 52.5], XVdX2MpkJm, 5719996]
[paragraph, [261.0, 2835.5, 2024.0, 52.5], XVdX2MpkJm, 5719996]
[paragraph, [261.0, 2888.0, 2024.0, 52.5], XVdX2MpkJm, 5719996]
