[2339, 1656]
[paragraph, [185.0, 202.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 238.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 274.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 310.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 346.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 382.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 418.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 454.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 490.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 526.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 562.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 598.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 634.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 670.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 706.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 742.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 778.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 814.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 850.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 886.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 922.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 958.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 994.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 1030.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [185.0, 1066.0, 1280.0, 36.0], shoonya_0sGLA4IZ1N9DMD, 5731594]
[paragraph, [190.0, 1162.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1198.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1234.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1270.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1306.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1342.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1378.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1414.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1450.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1486.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1522.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1558.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1594.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1630.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1666.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1702.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1738.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1774.0, 1272.0, 36.0], shoonya_1sGNOWQBE15PYL, 5731594]
[paragraph, [190.0, 1859.0, 1271.0, 36.0], shoonya_2s8MZS0GUSC3W6, 5731594]
[paragraph, [190.0, 1895.0, 1271.0, 36.0], shoonya_2s8MZS0GUSC3W6, 5731594]
[paragraph, [190.0, 1931.0, 1271.0, 36.0], shoonya_2s8MZS0GUSC3W6, 5731594]
[paragraph, [190.0, 1967.0, 1271.0, 36.0], shoonya_2s8MZS0GUSC3W6, 5731594]
[paragraph, [190.0, 2003.0, 1271.0, 36.0], shoonya_2s8MZS0GUSC3W6, 5731594]
[paragraph, [190.0, 2039.0, 1271.0, 36.0], shoonya_2s8MZS0GUSC3W6, 5731594]
[paragraph, [190.0, 2075.0, 1271.0, 36.0], shoonya_2s8MZS0GUSC3W6, 5731594]
