[1723, 1092]
[paragraph, [107.0, 105.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 141.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 177.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 213.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 249.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 285.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 321.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 357.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 393.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 429.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 465.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 501.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 537.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 573.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 609.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 645.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 681.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 717.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 753.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 789.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 825.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 861.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 897.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [107.0, 933.0, 874.0, 36.0], shoonya_2sZ7KU8DW0UWWO, 5680806]
[paragraph, [109.0, 998.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1034.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1070.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1106.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1142.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1178.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1214.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1250.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1286.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1322.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1358.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[paragraph, [109.0, 1394.0, 877.0, 36.0], shoonya_4sN3RE1FMGMT0H, 5680806]
[author, [753.0, 1473.0, 230.0, 36.0], shoonya_1sARK9GA9XMQVQ, 5680806]
[folio, [467.0, 1582.0, 137.0, 36.0], shoonya_3sXFHWW2LV2JG9, 5680806]
