[1250, 909]
[chapter-title, [272.0, 37.0, 255.0, 30.0], Mqw2-gy78K, 5776166]
[paragraph, [98.0, 77.0, 440.0, 18.0], shoonya_16sHCOX695K6HU, 5776166]
[paragraph, [81.0, 101.0, 638.0, 18.0], shoonya_3sGR05OXAIIT20, 5776166]
[paragraph, [81.0, 119.0, 638.0, 18.0], shoonya_3sGR05OXAIIT20, 5776166]
[paragraph, [81.0, 137.0, 638.0, 18.0], shoonya_3sGR05OXAIIT20, 5776166]
[paragraph, [81.0, 155.0, 638.0, 18.0], shoonya_3sGR05OXAIIT20, 5776166]
[paragraph, [81.0, 180.0, 637.0, 18.0], shoonya_2sBU9TB18V9X9B, 5776166]
[paragraph, [81.0, 198.0, 637.0, 18.0], shoonya_2sBU9TB18V9X9B, 5776166]
[paragraph, [81.0, 216.0, 637.0, 18.0], shoonya_2sBU9TB18V9X9B, 5776166]
[paragraph, [81.0, 234.0, 637.0, 18.0], shoonya_2sBU9TB18V9X9B, 5776166]
[paragraph, [81.0, 252.0, 637.0, 18.0], shoonya_2sBU9TB18V9X9B, 5776166]
[paragraph, [103.0, 280.0, 496.0, 18.0], shoonya_11sK5GC5H3HTL9, 5776166]
[paragraph, [81.0, 306.0, 642.0, 18.0], shoonya_6sK7QUJMT6T5KO, 5776166]
[paragraph, [81.0, 324.0, 642.0, 18.0], shoonya_6sK7QUJMT6T5KO, 5776166]
[paragraph, [81.0, 342.0, 642.0, 18.0], shoonya_6sK7QUJMT6T5KO, 5776166]
[paragraph, [81.0, 360.0, 642.0, 18.0], shoonya_6sK7QUJMT6T5KO, 5776166]
[paragraph, [81.0, 378.0, 642.0, 18.0], shoonya_6sK7QUJMT6T5KO, 5776166]
[paragraph, [81.0, 396.0, 642.0, 18.0], shoonya_6sK7QUJMT6T5KO, 5776166]
[paragraph, [81.0, 414.0, 642.0, 18.0], shoonya_6sK7QUJMT6T5KO, 5776166]
[paragraph, [82.0, 427.0, 637.0, 18.0], shoonya_14sWSC2FSS0PTF, 5776166]
[paragraph, [82.0, 445.0, 637.0, 18.0], shoonya_14sWSC2FSS0PTF, 5776166]
[paragraph, [82.0, 463.0, 637.0, 18.0], shoonya_14sWSC2FSS0PTF, 5776166]
[paragraph, [84.0, 482.0, 637.0, 18.0], shoonya_10sFD4HDU7NB79, 5776166]
[paragraph, [84.0, 500.0, 637.0, 18.0], shoonya_10sFD4HDU7NB79, 5776166]
[paragraph, [85.0, 532.0, 636.0, 18.0], shoonya_7sU9YGVO0NFV7F, 5776166]
[paragraph, [85.0, 550.0, 636.0, 18.0], shoonya_7sU9YGVO0NFV7F, 5776166]
[paragraph, [106.0, 583.0, 335.0, 18.0], shoonya_9sHG816M6XDAAU, 5776166]
[paragraph, [108.0, 607.0, 437.0, 18.0], shoonya_12sVW7712YDFJL, 5776166]
[paragraph, [87.0, 635.0, 632.0, 18.0], shoonya_1s3R2LY38ETBP9, 5776166]
[paragraph, [87.0, 653.0, 632.0, 18.0], shoonya_1s3R2LY38ETBP9, 5776166]
[paragraph, [109.0, 682.0, 314.0, 18.0], shoonya_8s74EIQUVQ9GU8, 5776166]
[paragraph, [111.0, 709.0, 157.0, 18.0], shoonya_4s2HH76GXMV45O, 5776166]
[paragraph, [88.0, 732.0, 637.0, 18.0], shoonya_0sJAGH8MTJFHXM, 5776166]
[paragraph, [88.0, 750.0, 637.0, 18.0], shoonya_0sJAGH8MTJFHXM, 5776166]
[paragraph, [88.0, 768.0, 637.0, 18.0], shoonya_0sJAGH8MTJFHXM, 5776166]
[paragraph, [88.0, 786.0, 637.0, 18.0], shoonya_0sJAGH8MTJFHXM, 5776166]
[paragraph, [88.0, 804.0, 637.0, 18.0], shoonya_0sJAGH8MTJFHXM, 5776166]
[paragraph, [87.0, 834.0, 640.0, 18.0], shoonya_5sSGVUHRHU3R5X, 5776166]
[paragraph, [87.0, 852.0, 640.0, 18.0], shoonya_5sSGVUHRHU3R5X, 5776166]
[paragraph, [87.0, 870.0, 640.0, 18.0], shoonya_5sSGVUHRHU3R5X, 5776166]
[paragraph, [87.0, 888.0, 640.0, 18.0], shoonya_5sSGVUHRHU3R5X, 5776166]
[paragraph, [87.0, 906.0, 640.0, 18.0], shoonya_5sSGVUHRHU3R5X, 5776166]
[paragraph, [83.0, 935.0, 640.0, 18.0], bm-6Jwwe79, 5776166]
[paragraph, [83.0, 953.0, 640.0, 18.0], bm-6Jwwe79, 5776166]
[paragraph, [83.0, 971.0, 640.0, 18.0], bm-6Jwwe79, 5776166]
[paragraph, [83.0, 989.0, 640.0, 18.0], bm-6Jwwe79, 5776166]
[paragraph, [111.0, 1010.0, 438.0, 18.0], shoonya_18sZH0GB7YGCE7, 5776166]
[paragraph, [89.0, 1036.0, 634.0, 18.0], shoonya_15sXYOL4U46NGX, 5776166]
[paragraph, [89.0, 1054.0, 634.0, 18.0], shoonya_15sXYOL4U46NGX, 5776166]
