[792, 612]
[chapter-title, [195.0, 299.0, 224.0, 30.0], shoonya_2sVA9MAK7UJ84M, 5760275]
[chapter-title, [195.0, 329.0, 224.0, 30.0], shoonya_2sVA9MAK7UJ84M, 5760275]
[paragraph, [66.0, 455.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 473.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 491.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 509.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 527.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 545.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 563.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 581.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 599.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 617.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 635.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 653.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 671.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
[paragraph, [66.0, 689.0, 480.0, 18.0], shoonya_4sW54TESW6HAFJ, 5760275]
