[1806, 1262]
[folio, [283.0, 98.0, 817.0, 36.0], shoonya_5sV7EUD34BPPBB, 5680689]
[paragraph, [656.0, 175.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 211.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 247.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 283.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 319.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 355.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 391.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 427.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 463.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 499.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 535.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 571.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 607.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 643.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 679.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [656.0, 715.0, 504.0, 36.0], shoonya_2sZCKU2WC540Z5, 5680689]
[paragraph, [89.0, 177.0, 518.0, 36.0], shoonya_1sDM6L6IVST7VB, 5680689]
[paragraph, [89.0, 213.0, 518.0, 36.0], shoonya_1sDM6L6IVST7VB, 5680689]
[paragraph, [89.0, 249.0, 518.0, 36.0], shoonya_1sDM6L6IVST7VB, 5680689]
