[792, 612]
[chapter-title, [166.0, 167.0, 182.0, 30.0], zcEgjRBPha, 6514552]
[paragraph, [166.0, 241.0, 307.0, 18.0], 9BWZaLpwdX, 6514552]
[paragraph, [166.0, 259.0, 307.0, 18.0], 9BWZaLpwdX, 6514552]
[paragraph, [209.0, 285.0, 270.0, 18.0], rUkDEAiyKt, 6514552]
[paragraph, [209.0, 303.0, 270.0, 18.0], rUkDEAiyKt, 6514552]
[paragraph, [209.0, 321.0, 270.0, 18.0], rUkDEAiyKt, 6514552]
[paragraph, [209.0, 339.0, 270.0, 18.0], rUkDEAiyKt, 6514552]
[paragraph, [209.0, 357.0, 270.0, 18.0], rUkDEAiyKt, 6514552]
[paragraph, [212.0, 411.0, 270.0, 18.0], hh_osOMJpf, 6514552]
[paragraph, [212.0, 429.0, 270.0, 18.0], hh_osOMJpf, 6514552]
[paragraph, [197.0, 473.0, 92.0, 18.0], 0eFN5pfiSJ, 6514552]
[paragraph, [196.0, 520.0, 122.0, 18.0], VFP1jyxBwl, 6514552]
