[1388, 886]
[folio, [662.0, 55.0, 192.0, 18.0], shoonya_1s5M5B86GZVRFV, 5742650]
[folio, [662.0, 73.0, 192.0, 18.0], shoonya_1s5M5B86GZVRFV, 5742650]
[folio, [364.0, 60.0, 135.0, 18.0], shoonya_2sTJODKG7ORTCG, 5742650]
[paragraph, [450.0, 116.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 134.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 152.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 170.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 188.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 206.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 224.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 242.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 260.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 278.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 296.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 314.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 332.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 350.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 368.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 386.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 404.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 422.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 440.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 458.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 476.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 494.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 512.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 530.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 548.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 566.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 584.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 602.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 620.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 638.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 656.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 674.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 692.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 710.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 728.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 746.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 764.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 782.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 800.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 818.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 836.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 854.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 872.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 890.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 908.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 926.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 944.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 962.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 980.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 998.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 1016.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 1034.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [450.0, 1052.0, 403.0, 18.0], DMlYaZsaIP, 5742650]
[paragraph, [25.0, 122.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 140.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 158.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 176.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 194.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 212.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 230.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 248.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 266.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 284.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
[paragraph, [25.0, 302.0, 406.0, 18.0], shoonya_0sPZ8EAQEHEWN0, 5742650]
