[792, 612]
[folio, [251.0, 64.0, 100.0, 18.0], RxHdVSatEy, 6491467]
[paragraph, [90.0, 130.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 148.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 166.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 184.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 202.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 220.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 238.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 256.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 274.0, 415.0, 18.0], cZMuJqu-ez, 6491467]
[paragraph, [90.0, 307.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 325.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 343.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 361.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 379.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 397.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 415.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 433.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [90.0, 451.0, 424.0, 18.0], 7m-X0Ni70i, 6491467]
[paragraph, [82.0, 479.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 497.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 515.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 533.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 551.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 569.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 587.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 605.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 623.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 641.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 659.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 677.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 695.0, 429.0, 18.0], S6joSOvj1h, 6491467]
[paragraph, [82.0, 713.0, 429.0, 18.0], S6joSOvj1h, 6491467]
